MIMATID,name,DCIS-normal,invasive-DCIS,Normallike-DCIS,LumA-DCIS,LumB-DCIS,Her2-DCIS,Basallike-DCIS,HER2neg_ERneg_PGRneg-DCIS,HER2neg_ERpos-DCIS,HER2pos_ERneg-DCIS,HER2pos_ERpos-DCIS
MIMAT0000092,MIMAT0000092,,,,,,,,,,,
MIMAT0000459,MIMAT0000459,,,,,,,,,,,
MIMAT0005865,MIMAT0005865,,,,,,,,,,,
MIMAT0003885,MIMAT0003885,,,,,,,,,,,
MIMAT0000073,MIMAT0000073,,,,,,,,,,,
MIMAT0000425,MIMAT0000425,,,,,,,,,,,
MIMAT0002173,MIMAT0002173,,,,,,,,,,,
MIMAT0000222,MIMAT0000222,,,,,,,,,,,
MIMAT0000101,MIMAT0000101,,,,,,,,,,,
MIMAT0000710,MIMAT0000710,,,,,,,,,,,
MIMAT0000431,MIMAT0000431,,,,,,,,,,,
MIMAT0000252,MIMAT0000252,,,,,,,,,,,
MIMAT0000445,MIMAT0000445,,,,,,,,,,,
MIMAT0000720,MIMAT0000720,,,,,,,,,,,
MIMAT0001618,MIMAT0001618,,,,,,,,,,,
MIMAT0004558,MIMAT0004558,,,,,,,,,,,
MIMAT0004673,MIMAT0004673,,,,UP,UP,,DOWN,,,,
MIMAT0001412,MIMAT0001412,,,,,,,,,,,
MIMAT0000452,MIMAT0000452,,,,,,,,,,,
MIMAT0003221,MIMAT0003221,,,,,,,,,,,
MIMAT0001080,MIMAT0001080,,,,,,,,,,,
MIMAT0000254,MIMAT0000254,,,,,,,,,,,
MIMAT0002821,MIMAT0002821,,,,,,,,,,,
MIMAT0000072,MIMAT0000072,,,,,,,UP,,,,
MIMAT0000278,MIMAT0000278,,,,,DOWN,DOWN,,,,DOWN,
MIMAT0000703,MIMAT0000703,,,,,,,,,,,
MIMAT0000226,MIMAT0000226,,,,,,,,,,,
MIMAT0000245,MIMAT0000245,,,,,,,,,,,
MIMAT0000687,MIMAT0000687,,,,,DOWN,,,,,,
MIMAT0000729,MIMAT0000729,,,,,DOWN,,,,,,
MIMAT0000280,MIMAT0000280,,,,,DOWN,,,,,,
MIMAT0000081,MIMAT0000081,,,,,,,,,,,
MIMAT0004784,MIMAT0004784,,,,,,,,,,,
MIMAT0000455,MIMAT0000455,,,DOWN,DOWN,,,,,,,
MIMAT0000084,MIMAT0000084,,,,,,,,,,,
MIMAT0000451,MIMAT0000451,,,,,DOWN,,,,,,
MIMAT0004484,MIMAT0004484,,,,,,,,,,,
MIMAT0000087,MIMAT0000087,,,,,,,,,,DOWN,
MIMAT0000089,MIMAT0000089,,,,,DOWN,,,,,,
MIMAT0002876,MIMAT0002876,,,,,DOWN,,,,,,
MIMAT0000094,MIMAT0000094,,,,,,,,,,,
MIMAT0000762,MIMAT0000762,,,,,,,,,,,
MIMAT0000685,MIMAT0000685,,,,,,,,,,,
