miRNA	ID
cgr-mir-144	MI0020406
cgr-miR-144	MIMAT0023773
cgr-mir-146a	MI0020407
cgr-miR-146a	MIMAT0023774
cgr-mir-146b	MI0020408
cgr-miR-146b-3p	MIMAT0023776
cgr-miR-146b-5p	MIMAT0023775
cgr-mir-147	MI0020409
cgr-miR-147	MIMAT0023777
cgr-mir-148b	MI0020410
cgr-miR-148b-3p	MIMAT0023779
cgr-miR-148b-5p	MIMAT0023778
cgr-mir-149	MI0020411
cgr-miR-149-3p	MIMAT0023781
cgr-miR-149-5p	MIMAT0023780
cgr-mir-151	MI0020412
cgr-miR-151-3p	MIMAT0023783
cgr-miR-151-5p	MIMAT0023782
cgr-mir-152	MI0020413
cgr-miR-152-3p	MIMAT0023785
cgr-miR-152-5p	MIMAT0023784
cgr-mir-154	MI0020414
cgr-miR-154-3p	MIMAT0023787
cgr-miR-154-5p	MIMAT0023786
cgr-mir-155	MI0020415
cgr-miR-155	MIMAT0023788
cgr-mir-15a	MI0020416
cgr-miR-15a-3p	MIMAT0023790
cgr-miR-15a-5p	MIMAT0023789
cgr-mir-15b	MI0020417
cgr-miR-15b-3p	MIMAT0023792
cgr-miR-15b-5p	MIMAT0023791
cgr-mir-16	MI0020418
cgr-miR-16-3p	MIMAT0023794
cgr-miR-16-5p	MIMAT0023793
cgr-mir-17	MI0020419
cgr-miR-17-3p	MIMAT0023796
cgr-miR-17-5p	MIMAT0023795
cgr-mir-181a	MI0020420
cgr-miR-181a-3p	MIMAT0023798
cgr-miR-181a-5p	MIMAT0023797
cgr-mir-181b	MI0020421
cgr-miR-181b-3p	MIMAT0023800
cgr-miR-181b-5p	MIMAT0023799
cgr-mir-181c	MI0020422
cgr-miR-181c-3p	MIMAT0023802
cgr-miR-181c-5p	MIMAT0023801
cgr-mir-181d	MI0020423
cgr-miR-181d-3p	MIMAT0023804
cgr-miR-181d-5p	MIMAT0023803
cgr-mir-182	MI0020424
cgr-miR-182	MIMAT0023805
cgr-mir-183	MI0020425
cgr-miR-183	MIMAT0023806
cgr-mir-1839	MI0020426
cgr-miR-1839-3p	MIMAT0023808
cgr-miR-1839-5p	MIMAT0023807
cgr-mir-184	MI0020427
cgr-miR-184	MIMAT0023809
cgr-mir-1843	MI0020428
cgr-miR-1843	MIMAT0023810
cgr-mir-185	MI0020429
cgr-miR-185-3p	MIMAT0023812
cgr-miR-185-5p	MIMAT0023811
cgr-mir-186	MI0020430
cgr-miR-186-3p	MIMAT0023814
cgr-miR-186-5p	MIMAT0023813
cgr-mir-187	MI0020431
cgr-miR-187	MIMAT0023815
cgr-mir-188	MI0020432
cgr-miR-188	MIMAT0023816
cgr-mir-18a	MI0020433
cgr-miR-18a-3p	MIMAT0023818
cgr-miR-18a-5p	MIMAT0023817
cgr-mir-1903	MI0020435
cgr-miR-1903	MIMAT0023820
cgr-mir-190a	MI0020434
cgr-miR-190a	MIMAT0023819
cgr-mir-190b	MI0020436
cgr-miR-190b	MIMAT0023821
cgr-mir-191	MI0020437
cgr-miR-191-3p	MIMAT0023823
cgr-miR-191-5p	MIMAT0023822
cgr-mir-192	MI0020438
cgr-miR-192	MIMAT0023824
cgr-mir-193b	MI0020439
cgr-miR-193b-3p	MIMAT0023826
cgr-miR-193b-5p	MIMAT0023825
cgr-mir-194	MI0020440
cgr-miR-194	MIMAT0023827
cgr-mir-1949	MI0020441
cgr-miR-1949	MIMAT0023828
cgr-mir-195	MI0020442
cgr-miR-195	MIMAT0023829
cgr-mir-1956	MI0020443
cgr-miR-1956	MIMAT0023830
cgr-mir-196a	MI0020444
cgr-miR-196a-3p	MIMAT0023832
cgr-miR-196a-5p	MIMAT0023831
cgr-mir-196b	MI0020445
cgr-miR-196b	MIMAT0023833
cgr-mir-196c	MI0020446
cgr-miR-196c	MIMAT0023834
cgr-mir-1973	MI0020447
cgr-miR-1973	MIMAT0023835
cgr-mir-199a	MI0020448
cgr-miR-199a-3p	MIMAT0023837
cgr-miR-199a-5p	MIMAT0023836
cgr-mir-199b	MI0020449
cgr-miR-199b	MIMAT0023838
cgr-mir-19a	MI0020450
cgr-miR-19a	MIMAT0023839
cgr-mir-19b	MI0020451
cgr-miR-19b-3p	MIMAT0023841
cgr-miR-19b-5p	MIMAT0023840
cgr-mir-200b	MI0020452
cgr-miR-200b	MIMAT0023842
cgr-mir-200c	MI0020453
cgr-miR-200c	MIMAT0023843
cgr-mir-204	MI0020454
cgr-miR-204	MIMAT0023844
cgr-mir-205	MI0020455
cgr-miR-205	MIMAT0023845
cgr-mir-206	MI0020456
cgr-miR-206	MIMAT0023846
cgr-mir-20a	MI0020457
cgr-miR-20a	MIMAT0023847
cgr-mir-21	MI0005725
cgr-miR-21	MIMAT0004417
cgr-mir-210	MI0020458
cgr-miR-210-3p	MIMAT0023849
cgr-miR-210-5p	MIMAT0023848
cgr-mir-212	MI0020459
cgr-miR-212	MIMAT0023850
cgr-miR-21-3p	MIMAT0022937
cgr-mir-214	MI0020460
cgr-miR-214-3p	MIMAT0023852
cgr-miR-214-5p	MIMAT0023851
cgr-mir-215	MI0020461
cgr-miR-215-3p	MIMAT0023854
cgr-miR-215-5p	MIMAT0023853
cgr-miR-21-5p	MIMAT0004417
cgr-mir-218a	MI0020462
cgr-miR-218a	MIMAT0023855
cgr-mir-22	MI0020463
cgr-mir-221	MI0020464
cgr-miR-221-3p	MIMAT0023859
cgr-miR-221-5p	MIMAT0023858
cgr-mir-222	MI0020465
cgr-miR-222-3p	MIMAT0023861
cgr-miR-222-5p	MIMAT0023860
cgr-miR-22-3p	MIMAT0023857
cgr-miR-22-5p	MIMAT0023856
cgr-mir-23a	MI0020466
cgr-miR-23a-3p	MIMAT0023863
cgr-miR-23a-5p	MIMAT0023862
cgr-mir-23b	MI0020467
cgr-miR-23b-3p	MIMAT0023865
cgr-miR-23b-5p	MIMAT0023864
cgr-mir-24	MI0020468
cgr-mir-2424	MI0020469
cgr-miR-2424	MIMAT0023868
cgr-miR-24-3p	MIMAT0023867
cgr-miR-24-5p	MIMAT0023866
cgr-mir-25	MI0020470
cgr-miR-25-3p	MIMAT0023870
cgr-miR-25-5p	MIMAT0023869
cgr-mir-26a	MI0020471
cgr-miR-26a	MIMAT0023871
cgr-mir-26b	MI0020472
cgr-miR-26b-3p	MIMAT0023873
cgr-miR-26b-5p	MIMAT0023872
cgr-mir-27a	MI0020473
cgr-miR-27a-3p	MIMAT0023875
cgr-miR-27a-5p	MIMAT0023874
cgr-mir-27b	MI0020474
cgr-miR-27b-3p	MIMAT0023877
cgr-miR-27b-5p	MIMAT0023876
cgr-mir-28	MI0020475
cgr-miR-28-3p	MIMAT0023879
cgr-miR-28-5p	MIMAT0023878
cgr-mir-296	MI0020476
cgr-miR-296	MIMAT0023880
cgr-mir-298	MI0020477
cgr-miR-298-3p	MIMAT0023882
cgr-miR-298-5p	MIMAT0023881
cgr-mir-29a	MI0020478
cgr-miR-29a-3p	MIMAT0023884
cgr-miR-29a-5p	MIMAT0023883
cgr-mir-29b	MI0020479
cgr-miR-29b-3p	MIMAT0023886
cgr-miR-29b-5p	MIMAT0023885
cgr-mir-29c	MI0020480
cgr-miR-29c-3p	MIMAT0023888
cgr-miR-29c-5p	MIMAT0023887
cgr-mir-300	MI0020481
cgr-miR-300	MIMAT0023889
cgr-mir-301a	MI0020482
cgr-miR-301a-3p	MIMAT0023891
cgr-miR-301a-5p	MIMAT0023890
cgr-mir-3072	MI0020483
cgr-miR-3072-3p	MIMAT0023893
cgr-miR-3072-5p	MIMAT0023892
cgr-mir-30a	MI0020484
cgr-miR-30a-3p	MIMAT0023895
cgr-miR-30a-5p	MIMAT0023894
cgr-mir-30b	MI0020485
cgr-miR-30b-3p	MIMAT0023897
cgr-miR-30b-5p	MIMAT0023896
cgr-mir-30c	MI0020486
cgr-miR-30c	MIMAT0023898
cgr-mir-30d	MI0020487
cgr-miR-30d	MIMAT0023899
cgr-mir-30e	MI0020488
cgr-miR-30e-3p	MIMAT0023901
cgr-miR-30e-5p	MIMAT0023900
cgr-mir-31	MI0020489
cgr-miR-31-3p	MIMAT0023903
cgr-miR-31-5p	MIMAT0023902
cgr-mir-32	MI0020490
cgr-mir-320a	MI0020491
cgr-miR-320a	MIMAT0023906
cgr-mir-322	MI0020492
cgr-miR-322-3p	MIMAT0023908
cgr-miR-322-5p	MIMAT0023907
cgr-miR-32-3p	MIMAT0023905
cgr-mir-324	MI0020493
cgr-miR-324-3p	MIMAT0023910
cgr-miR-324-5p	MIMAT0023909
cgr-mir-325	MI0020494
cgr-miR-325-3p	MIMAT0023912
cgr-miR-325-5p	MIMAT0023911
cgr-miR-32-5p	MIMAT0023904
cgr-mir-326	MI0020495
cgr-miR-326	MIMAT0023913
cgr-mir-328	MI0020496
cgr-miR-328	MIMAT0023914
cgr-mir-33	MI0020497
cgr-miR-33	MIMAT0023915
cgr-mir-331	MI0020498
cgr-miR-331-3p	MIMAT0023917
cgr-miR-331-5p	MIMAT0023916
cgr-mir-338	MI0020499
cgr-miR-338	MIMAT0023918
cgr-mir-339	MI0020500
cgr-miR-339	MIMAT0023919
cgr-mir-340	MI0020501
cgr-miR-340-3p	MIMAT0023921
cgr-miR-340-5p	MIMAT0023920
cgr-mir-342	MI0020502
cgr-miR-342-3p	MIMAT0023923
cgr-miR-342-5p	MIMAT0023922
cgr-mir-344	MI0020503
cgr-miR-344	MIMAT0023924
cgr-mir-345	MI0020504
cgr-miR-345	MIMAT0023925
cgr-mir-34a	MI0020505
cgr-miR-34a	MIMAT0023926
cgr-mir-34b	MI0020506
cgr-miR-34b-3p	MIMAT0023928
cgr-miR-34b-5p	MIMAT0023927
cgr-mir-34c	MI0020507
cgr-miR-34c-3p	MIMAT0023930
cgr-miR-34c-5p	MIMAT0023929
cgr-mir-350	MI0020508
cgr-miR-350-3p	MIMAT0023932
cgr-miR-350-5p	MIMAT0023931
cgr-mir-361	MI0020509
cgr-miR-361	MIMAT0023933
cgr-mir-362	MI0020510
cgr-miR-362	MIMAT0023934
cgr-mir-365	MI0020511
cgr-miR-365-3p	MIMAT0023936
cgr-miR-365-5p	MIMAT0023935
cgr-mir-369	MI0020512
cgr-miR-369-3p	MIMAT0023938
cgr-miR-369-5p	MIMAT0023937
cgr-mir-374	MI0020513
cgr-miR-374-3p	MIMAT0023940
cgr-miR-374-5p	MIMAT0023939
cgr-mir-377	MI0020514
cgr-miR-377-3p	MIMAT0023942
cgr-miR-377-5p	MIMAT0023941
cgr-mir-378	MI0020515
cgr-miR-378-3p	MIMAT0023944
cgr-miR-378-5p	MIMAT0023943
cgr-mir-379	MI0020516
cgr-miR-379	MIMAT0023945
cgr-mir-381	MI0020517
cgr-miR-381	MIMAT0023946
cgr-mir-382	MI0020518
cgr-miR-382	MIMAT0023947
cgr-mir-384	MI0020519
cgr-miR-384-3p	MIMAT0023949
cgr-miR-384-5p	MIMAT0023948
cgr-mir-409	MI0020520
cgr-miR-409-3p	MIMAT0023951
cgr-miR-409-5p	MIMAT0023950
cgr-mir-410	MI0020521
cgr-miR-410-3p	MIMAT0023953
cgr-miR-410-5p	MIMAT0023952
cgr-mir-412	MI0020522
cgr-miR-412-3p	MIMAT0023955
cgr-miR-412-5p	MIMAT0023954
cgr-mir-423	MI0020523
cgr-miR-423-3p	MIMAT0023957
cgr-miR-423-5p	MIMAT0023956
cgr-mir-425	MI0020524
cgr-miR-425-3p	MIMAT0023959
cgr-miR-425-5p	MIMAT0023958
cgr-mir-429	MI0020525
cgr-miR-429	MIMAT0023960
cgr-mir-450a	MI0020526
cgr-miR-450a	MIMAT0023961
cgr-mir-450b	MI0020527
cgr-miR-450b-3p	MIMAT0023963
cgr-miR-450b-5p	MIMAT0023962
cgr-mir-455	MI0020528
cgr-miR-455-3p	MIMAT0023965
cgr-miR-455-5p	MIMAT0023964
cgr-mir-484	MI0020529
cgr-miR-484	MIMAT0023966
cgr-mir-486	MI0020530
cgr-miR-486-3p	MIMAT0023968
cgr-miR-486-5p	MIMAT0023967
cgr-mir-496	MI0020531
cgr-miR-496	MIMAT0023969
cgr-mir-497	MI0020532
cgr-miR-497-3p	MIMAT0023971
cgr-miR-497-5p	MIMAT0023970
cgr-mir-499	MI0020533
cgr-miR-499-3p	MIMAT0023973
cgr-miR-499-5p	MIMAT0023972
cgr-mir-500	MI0020534
cgr-miR-500	MIMAT0023974
cgr-mir-501	MI0020535
cgr-miR-501-3p	MIMAT0023976
cgr-miR-501-5p	MIMAT0023975
cgr-mir-503	MI0020536
cgr-miR-503	MIMAT0023977
cgr-mir-504	MI0020537
cgr-miR-504	MIMAT0023978
cgr-mir-505	MI0020538
cgr-miR-505-3p	MIMAT0023980
cgr-miR-505-5p	MIMAT0023979
cgr-mir-532	MI0020539
cgr-miR-532-3p	MIMAT0023982
cgr-miR-532-5p	MIMAT0023981
cgr-mir-542	MI0020540
cgr-miR-542-3p	MIMAT0023984
cgr-miR-542-5p	MIMAT0023983
cgr-mir-582	MI0020541
cgr-miR-582	MIMAT0023985
cgr-mir-598	MI0020542
cgr-miR-598	MIMAT0023986
cgr-mir-6091	MI0020565
cgr-miR-6091	MIMAT0024018
cgr-mir-6092	MI0020566
cgr-miR-6092	MIMAT0024019
cgr-mir-615	MI0020543
cgr-miR-615-3p	MIMAT0023988
cgr-miR-615-5p	MIMAT0023987
cgr-mir-628	MI0020544
cgr-miR-628	MIMAT0023989
cgr-mir-632	MI0020545
cgr-miR-632	MIMAT0023990
cgr-mir-652	MI0020546
cgr-miR-652-3p	MIMAT0023992
cgr-miR-652-5p	MIMAT0023991
cgr-mir-653	MI0020547
cgr-miR-653	MIMAT0023993
cgr-mir-664	MI0020548
cgr-miR-664-3p	MIMAT0023995
cgr-miR-664-5p	MIMAT0023994
cgr-mir-671	MI0020549
cgr-miR-671-3p	MIMAT0023997
cgr-miR-671-5p	MIMAT0023996
cgr-mir-672	MI0020550
cgr-miR-672	MIMAT0023998
cgr-mir-674	MI0020551
cgr-miR-674	MIMAT0023999
cgr-mir-7	MI0016998
cgr-miR-7	MIMAT0020368
cgr-mir-702	MI0020552
cgr-miR-702	MIMAT0024000
cgr-mir-708	MI0020553
cgr-miR-708	MIMAT0024001
cgr-mir-744	MI0020555
cgr-miR-744-3p	MIMAT0024003
cgr-miR-744-5p	MIMAT0024002
cgr-mir-7a	MI0016998
cgr-miR-7a	MIMAT0020368
cgr-mir-7b	MI0020556
cgr-miR-7b	MIMAT0024004
cgr-mir-872	MI0020557
cgr-miR-872-3p	MIMAT0024006
cgr-miR-872-5p	MIMAT0024005
cgr-mir-874	MI0020558
cgr-miR-874	MIMAT0024007
cgr-mir-9	MI0020559
cgr-miR-9	MIMAT0024008
cgr-mir-92a	MI0020560
cgr-miR-92a-3p	MIMAT0024010
cgr-miR-92a-5p	MIMAT0024009
cgr-mir-92b	MI0020561
cgr-miR-92b-3p	MIMAT0024012
cgr-miR-92b-5p	MIMAT0024011
cgr-mir-93	MI0020562
cgr-miR-93-3p	MIMAT0024014
cgr-miR-93-5p	MIMAT0024013
cgr-mir-98	MI0020563
cgr-miR-98	MIMAT0024015
cgr-mir-99a	MI0020564
cgr-miR-99a-3p	MIMAT0024017
cgr-miR-99a-5p	MIMAT0024016
cin-let-7a	MIMAT0006086
cin-let-7a-1	MI0007149
cin-let-7a-1*	MIMAT0015247
cin-let-7a-1-3p	MIMAT0015247
cin-let-7a-2	MI0007150
cin-let-7a-2*	MIMAT0015248
cin-let-7a-2-3p	MIMAT0015248
cin-let-7a-5p	MIMAT0006086
cin-let-7b	MI0007151_MIMAT0006087
cin-let-7b*	MIMAT0015249
cin-let-7b-3p	MIMAT0015249
cin-let-7b-5p	MIMAT0006087
cin-let-7c	MI0007152_MIMAT0006088
cin-let-7d	MI0007153_MIMAT0006089
cin-let-7d*	MIMAT0015250
cin-let-7d-3p	MIMAT0015250
cin-let-7d-5p	MIMAT0006089
cin-let-7e	MI0007154_MIMAT0006090
cin-let-7f	MI0015777
cin-let-7f-3p	MIMAT0016843
cin-let-7f-5p	MIMAT0016842
cin-mir-1	MI0015480
cin-mir-101	MI0007163
cin-miR-101	MIMAT0006099
cin-miR-124	MIMAT0006100
cin-mir-124-1	MI0007164
cin-miR-124-1*	MIMAT0015256
cin-miR-124-1-5p	MIMAT0015256
cin-mir-124-2	MI0007165
cin-miR-124-2*	MIMAT0015257
cin-miR-124-2-5p	MIMAT0015257
cin-miR-124-3p	MIMAT0006100
cin-mir-125	MI0015487
cin-miR-125-3p	MIMAT0016406
cin-miR-125-5p	MIMAT0016405
cin-mir-126	MI0007166
cin-miR-126	MIMAT0006101
cin-miR-126*	MIMAT0015258
cin-miR-126-3p	MIMAT0006101
cin-miR-126-5p	MIMAT0015258
cin-mir-132-2	MI0015497
cin-miR-132-5p	MIMAT0016425
cin-mir-133	MI0007167
cin-miR-133	MIMAT0006102
cin-miR-133*	MIMAT0015259
cin-miR-133-3p	MIMAT0006102
cin-miR-133-5p	MIMAT0015259
cin-mir-135	MI0015489
cin-miR-135-3p	MIMAT0016410
cin-miR-135-5p	MIMAT0016409
cin-miR-1-3p	MIMAT0016393
cin-mir-141	MI0007168
cin-miR-141	MIMAT0006103
cin-miR-141*	MIMAT0015260
cin-miR-141-3p	MIMAT0006103
cin-miR-141-5p	MIMAT0015260
cin-mir-1473	MI0007129
cin-miR-1473	MIMAT0006067
cin-miR-1473*	MIMAT0015245
cin-miR-1473-3p	MIMAT0006067
cin-miR-1473-5p	MIMAT0015245
cin-mir-1497	MI0007130
cin-miR-1497	MIMAT0006068
cin-miR-1497*	MIMAT0015246
cin-miR-1497-3p	MIMAT0006068
cin-miR-1497-5p	MIMAT0015246
cin-mir-15	MI0015483
cin-mir-1502a	MI0015541
cin-miR-1502a-3p	MIMAT0016488
cin-miR-1502a-5p	MIMAT0016487
cin-mir-1502b	MI0015542
cin-miR-1502b-3p	MIMAT0016490
cin-miR-1502b-5p	MIMAT0016489
cin-mir-1502c	MI0015543
cin-miR-1502c-3p	MIMAT0016492
cin-miR-1502c-5p	MIMAT0016491
cin-mir-1502d	MI0015544
cin-miR-1502d-3p	MIMAT0016494
cin-miR-1502d-5p	MIMAT0016493
cin-mir-153	MI0007169
cin-miR-153	MIMAT0006104
cin-miR-153*	MIMAT0015261
cin-miR-153-3p	MIMAT0006104
cin-miR-153-5p	MIMAT0015261
cin-miR-15-3p	MIMAT0016398
cin-mir-155	MI0007170
cin-miR-155	MIMAT0006105
cin-miR-15-5p	MIMAT0016397
cin-miR-1-5p	MIMAT0016392
cin-mir-181	MI0007171
cin-miR-181	MIMAT0006106
cin-mir-182	MI0015490
cin-miR-182-3p	MIMAT0016412
cin-miR-182-5p	MIMAT0016411
cin-mir-183	MI0007172
cin-miR-183	MIMAT0006107
cin-miR-183*	MIMAT0015262
cin-miR-183-3p	MIMAT0015262
cin-miR-183-5p	MIMAT0006107
cin-mir-184	MI0007173
cin-miR-184	MIMAT0006108
cin-mir-196	MI0015491
cin-miR-196-3p	MIMAT0016414
cin-miR-196-5p	MIMAT0016413
cin-mir-199	MI0007174
cin-miR-199-3p	MIMAT0006109
cin-mir-200	MI0007175
cin-miR-200	MIMAT0006110
cin-miR-200*	MIMAT0015263
cin-miR-200-3p	MIMAT0006110
cin-miR-200-5p	MIMAT0015263
cin-mir-216	MI0007176
cin-miR-216	MIMAT0006111
cin-mir-217	MI0007177
cin-miR-217	MIMAT0006112
cin-mir-219	MI0007178
cin-miR-219	MIMAT0006113
cin-miR-219*	MIMAT0015264
cin-miR-219-3p	MIMAT0015264
cin-miR-219-5p	MIMAT0006113
cin-mir-281	MI0007179
cin-miR-281	MIMAT0006114
cin-miR-281*	MIMAT0015265
cin-miR-281-3p	MIMAT0006114
cin-miR-281-5p	MIMAT0015265
cin-mir-29	MI0015485
cin-miR-29-3p	MIMAT0016402
cin-miR-29-5p	MIMAT0016401
cin-mir-31	MI0007156
cin-miR-31	MIMAT0006092
cin-mir-33	MI0007157
cin-miR-33	MIMAT0006093
cin-mir-34	MI0007158
cin-miR-34	MIMAT0006094
cin-miR-34*	MIMAT0015252
cin-miR-34-3p	MIMAT0015252
cin-miR-34-5p	MIMAT0006094
cin-mir-3575	MI0015481
cin-miR-3575-3p	MIMAT0016395
cin-miR-3575-5p	MIMAT0016394
cin-mir-3598	MI0015484
cin-miR-3598-3p	MIMAT0016400
cin-miR-3598-5p	MIMAT0016399
cin-mir-3599	MI0015488
cin-miR-3599-3p	MIMAT0016408
cin-miR-3599-5p	MIMAT0016407
cin-mir-367	MI0015492
cin-miR-367-3p	MIMAT0016416
cin-miR-367-5p	MIMAT0016415
cin-mir-375	MI0015493
cin-miR-375-3p	MIMAT0016418
cin-miR-375-5p	MIMAT0016417
cin-mir-4000a-1	MI0015500
cin-mir-4000a-2	MI0015504
cin-miR-4000a-2-3p	MIMAT0026471
cin-mir-4000a-3	MI0015503
cin-miR-4000a-3-3p	MIMAT0016964
cin-miR-4000a-3p	MIMAT0016431
cin-miR-4000a-5p	MIMAT0016430
cin-mir-4000b-1	MI0015501
cin-miR-4000b-1-3p	MIMAT0016433
cin-mir-4000b-2	MI0015508
cin-miR-4000b-2-3p	MIMAT0016965
cin-miR-4000b-5p	MIMAT0016432
cin-mir-4000c	MI0015498
cin-miR-4000c-3p	MIMAT0016427
cin-miR-4000c-5p	MIMAT0016426
cin-mir-4000d	MI0015499
cin-miR-4000d-3p	MIMAT0016429
cin-miR-4000d-5p	MIMAT0016428
cin-mir-4000e	MI0015502
cin-miR-4000e-3p	MIMAT0016435
cin-miR-4000e-5p	MIMAT0016434
cin-mir-4000f	MI0015505
cin-miR-4000f-3p	MIMAT0016437
cin-miR-4000f-5p	MIMAT0016436
cin-mir-4000g	MI0015506
cin-miR-4000g-3p	MIMAT0016439
cin-miR-4000g-5p	MIMAT0016438
cin-mir-4000h	MI0015507
cin-miR-4000h-3p	MIMAT0016441
cin-miR-4000h-5p	MIMAT0016440
cin-mir-4000i	MI0015509
cin-miR-4000i-3p	MIMAT0016443
cin-miR-4000i-5p	MIMAT0016442
cin-mir-4001a-1	MI0015510
cin-miR-4001a-1-3p	MIMAT0016445
cin-mir-4001a-2	MI0015513
cin-miR-4001a-2-3p	MIMAT0016974
cin-miR-4001a-5p	MIMAT0016444
cin-mir-4001b-1	MI0015519
cin-miR-4001b-1-3p	MIMAT0016447
cin-mir-4001b-2	MI0015521
cin-miR-4001b-2-3p	MIMAT0016975
cin-miR-4001b-5p	MIMAT0016446
cin-mir-4001c	MI0015514
cin-miR-4001c-3p	MIMAT0016451
cin-miR-4001c-5p	MIMAT0016450
cin-mir-4001d	MI0015515
cin-miR-4001d-3p	MIMAT0016453
cin-miR-4001d-5p	MIMAT0016452
cin-mir-4001e	MI0015516
cin-miR-4001e-3p	MIMAT0016455
cin-miR-4001e-5p	MIMAT0016454
cin-mir-4001f	MI0015517
cin-miR-4001f-3p	MIMAT0016457
cin-miR-4001f-5p	MIMAT0016456
cin-mir-4001g	MI0015518
cin-miR-4001g-3p	MIMAT0016458
cin-mir-4001h	MI0015520
cin-miR-4001h-3p	MIMAT0016460
cin-miR-4001h-5p	MIMAT0016459
cin-mir-4001i	MI0015511
cin-miR-4001i-3p	MIMAT0016967
cin-miR-4001i-5p	MIMAT0016966
cin-mir-4002	MI0015512
cin-miR-4002-3p	MIMAT0016449
cin-miR-4002-5p	MIMAT0016448
cin-mir-4003a-1	MI0015522
cin-mir-4003a-2	MI0015525
cin-mir-4003a-3	MI0015526
cin-miR-4003a-3p	MIMAT0016462
cin-mir-4003a-4	MI0015528
cin-miR-4003a-5p	MIMAT0016461
cin-mir-4003b	MI0015529
cin-miR-4003b-3p	MIMAT0016470
cin-miR-4003b-5p	MIMAT0016469
cin-mir-4003c	MI0015524
cin-miR-4003c-3p	MIMAT0016466
cin-miR-4003c-5p	MIMAT0016465
cin-mir-4003d	MI0015678
cin-miR-4003d-3p	MIMAT0016717
cin-mir-4004	MI0015530
cin-miR-4004-5p	MIMAT0016471
cin-mir-4005a	MI0015523
cin-miR-4005a-3p	MIMAT0016464
cin-miR-4005a-5p	MIMAT0016463
cin-mir-4005b	MI0015527
cin-miR-4005b-3p	MIMAT0016468
cin-miR-4005b-5p	MIMAT0016467
cin-mir-4005c	MI0015741
cin-miR-4005c-5p	MIMAT0016801
cin-mir-4006a-1	MI0015534
cin-miR-4006a-1-3p	MIMAT0016479
cin-mir-4006a-2	MI0015536
cin-miR-4006a-2-3p	MIMAT0016968
cin-mir-4006a-3	MI0015537
cin-miR-4006a-3-3p	MIMAT0016969
cin-miR-4006a-5p	MIMAT0016478
cin-mir-4006b	MI0015531
cin-miR-4006b-3p	MIMAT0016473
cin-miR-4006b-5p	MIMAT0016472
cin-mir-4006c	MI0015532
cin-miR-4006c-3p	MIMAT0016475
cin-miR-4006c-5p	MIMAT0016474
cin-mir-4006d	MI0015533
cin-miR-4006d-3p	MIMAT0016477
cin-miR-4006d-5p	MIMAT0016476
cin-mir-4006e	MI0015535
cin-miR-4006e-3p	MIMAT0016481
cin-miR-4006e-5p	MIMAT0016480
cin-mir-4006f	MI0015538
cin-miR-4006f-3p	MIMAT0016483
cin-miR-4006f-5p	MIMAT0016482
cin-mir-4006g	MI0015539
cin-miR-4006g-3p	MIMAT0016485
cin-miR-4006g-5p	MIMAT0016484
cin-mir-4007	MI0015540
cin-miR-4007-5p	MIMAT0016486
cin-mir-4008a	MI0015545
cin-miR-4008a-3p	MIMAT0016496
cin-miR-4008a-5p	MIMAT0016495
cin-mir-4008b	MI0015546
cin-miR-4008b-3p	MIMAT0016498
cin-miR-4008b-5p	MIMAT0016497
cin-mir-4008c	MI0015547
cin-miR-4008c-3p	MIMAT0016500
cin-miR-4008c-5p	MIMAT0016499
cin-mir-4009a	MI0015548
cin-miR-4009a-3p	MIMAT0016502
cin-miR-4009a-5p	MIMAT0016501
cin-mir-4009b	MI0015549
cin-miR-4009b-3p	MIMAT0016504
cin-miR-4009b-5p	MIMAT0016503
cin-mir-4009c	MI0015550
cin-miR-4009c-3p	MIMAT0016505
cin-mir-4010	MI0015551
cin-mir-4010-1	MI0015551
cin-mir-4010-2	MI0015552
cin-miR-4010-3p	MIMAT0016507
cin-miR-4010-5p	MIMAT0016506
cin-mir-4011a	MI0015553
cin-miR-4011a-3p	MIMAT0016509
cin-miR-4011a-5p	MIMAT0016508
cin-mir-4011b	MI0015554
cin-miR-4011b-3p	MIMAT0016511
cin-miR-4011b-5p	MIMAT0016510
cin-mir-4012-1	MI0015555
cin-mir-4012-2	MI0015556
cin-miR-4012-3p	MIMAT0016513
cin-miR-4012-5p	MIMAT0016512
cin-mir-4013a	MI0015557
cin-miR-4013a-3p	MIMAT0016515
cin-miR-4013a-5p	MIMAT0016514
cin-mir-4013b	MI0015558
cin-miR-4013b-3p	MIMAT0016517
cin-miR-4013b-5p	MIMAT0016516
cin-mir-4014-1	MI0015559
cin-miR-4014-1-5p	MIMAT0016518
cin-mir-4014-2	MI0015560
cin-miR-4014-2-5p	MIMAT0016976
cin-miR-4014-3p	MIMAT0016519
cin-mir-4015-1	MI0015561
cin-mir-4015-2	MI0015562
cin-miR-4015-3p	MIMAT0016521
cin-miR-4015-5p	MIMAT0016520
cin-miR-4016	MIMAT0016522
cin-mir-4016-1	MI0015563
cin-mir-4016-2	MI0015564
cin-miR-4016-3p	MIMAT0016522
cin-miR-4016-5p	MIMAT0016523
cin-mir-4017-1	MI0015565
cin-mir-4017-2	MI0015566
cin-miR-4017-3p	MIMAT0016525
cin-miR-4017-5p	MIMAT0016524
cin-mir-4018a	MI0015568
cin-miR-4018a-3p	MIMAT0016529
cin-miR-4018a-5p	MIMAT0016528
cin-mir-4018b	MI0015569
cin-miR-4018b-3p	MIMAT0016531
