miRNA	ID
aae-miR-308-3p	MIMAT0014261
aae-miR-308-5p	MIMAT0014260
aae-miR-309a	MIMAT0014272
aae-mir-309a-1	MI0013477
aae-mir-309a-2	MI0013478
aae-mir-309b	MI0013526
aae-miR-309b	MIMAT0014320
aae-miR-309b*	MIMAT0014319
aae-miR-309b-3p	MIMAT0014320
aae-miR-309b-5p	MIMAT0014319
aae-mir-31	MI0013483
aae-miR-31	MIMAT0014276
aae-mir-315	MI0013467
aae-miR-315	MIMAT0014262
aae-miR-315*	MIMAT0015370
aae-miR-315-3p	MIMAT0015370
aae-miR-315-5p	MIMAT0014262
aae-mir-316	MI0013523
aae-miR-316	MIMAT0014317
aae-miR-317	MIMAT0014224
aae-mir-317-1	MI0013442
aae-mir-317-2	MI0013524
aae-mir-33	MI0013493
aae-miR-33	MIMAT0014287
aae-mir-34	MI0013456
aae-miR-34	MIMAT0014245
aae-miR-34*	MIMAT0014246
aae-miR-34-3p	MIMAT0014246
aae-miR-34-5p	MIMAT0014245
aae-mir-375	MI0013504
aae-miR-375	MIMAT0014298
aae-mir-7	MI0013496
aae-miR-7	MIMAT0014290
aae-mir-71	MI0013440
aae-miR-71	MIMAT0014220
aae-miR-71*	MIMAT0014221
aae-miR-71-3p	MIMAT0014221
aae-miR-71-5p	MIMAT0014220
aae-mir-79	MI0013500
aae-miR-79	MIMAT0014294
aae-miR-79*	MIMAT0014295
aae-miR-79-3p	MIMAT0014295
aae-miR-79-5p	MIMAT0014294
aae-mir-8	MI0013437
aae-miR-8	MIMAT0014215
aae-miR-8*	MIMAT0014214
aae-miR-8-3p	MIMAT0014215
aae-miR-8-5p	MIMAT0014214
aae-mir-87	MI0013461
aae-miR-87	MIMAT0014252
aae-mir-9	MI0013436
aae-miR-9	MIMAT0014212
aae-miR-9*	MIMAT0014213
aae-mir-927	MI0013476
aae-miR-927	MIMAT0014271
aae-miR-929	MIMAT0015648
aae-mir-929-1	MI0014710
aae-mir-929-2	MI0014711
aae-mir-92a	MI0013445
aae-miR-92a	MIMAT0014228
aae-miR-92a*	MIMAT0015369
aae-miR-92a-3p	MIMAT0014228
aae-miR-92a-5p	MIMAT0015369
aae-mir-92b	MI0013527
aae-miR-92b	MIMAT0014322
aae-miR-92b*	MIMAT0014321
aae-miR-92b-3p	MIMAT0014322
aae-miR-92b-5p	MIMAT0014321
aae-mir-932	MI0013475
aae-miR-932	MIMAT0014270
aae-miR-932*	MIMAT0014269
aae-miR-932-3p	MIMAT0014270
aae-miR-932-5p	MIMAT0014269
aae-mir-957	MI0013458
aae-miR-957	MIMAT0014248
aae-mir-965	MI0013474
aae-miR-965	MIMAT0014268
aae-mir-970	MI0013498
aae-miR-970	MIMAT0014292
aae-mir-980	MI0013449
aae-miR-980	MIMAT0014236
aae-miR-980*	MIMAT0014235
aae-miR-980-3p	MIMAT0014236
aae-miR-980-5p	MIMAT0014235
aae-mir-981	MI0013473
aae-miR-981	MIMAT0014267
aae-mir-988	MI0013487
aae-miR-988	MIMAT0014281
aae-miR-988*	MIMAT0014280
aae-miR-988-3p	MIMAT0014281
aae-miR-988-5p	MIMAT0014280
aae-mir-989	MI0013451
aae-miR-989	MIMAT0014239
aae-mir-993	MI0013472
aae-miR-993	MIMAT0014266
aae-mir-996	MI0013460
aae-miR-996	MIMAT0014251
aae-mir-998	MI0013444
aae-miR-998	MIMAT0014227
aae-mir-999	MI0013464
aae-miR-999	MIMAT0014257
aae-miR-9a	MIMAT0014323
aae-mir-9a-1	MI0013528
aae-mir-9a-2	MI0013529
aae-mir-9b	MI0013530
aae-miR-9b	MIMAT0014324
aae-mir-9c	MI0013436_MI0014709
aae-miR-9c	MIMAT0015647
aae-miR-9c-3p	MIMAT0014213
aae-miR-9c-5p	MIMAT0014212
aae-mir-iab-4-1	MI0013485
aae-mir-iab-4-2	MI0013531
aae-miR-iab-4-3p	MIMAT0016977
aae-miR-iab-4-5p	MIMAT0014278
aau-miR160	MIMAT0022672
aau-MIR160	MI0018979
aau-miR162	MIMAT0022677
aau-MIR162	MI0018984
aau-miR168	MIMAT0022678
aau-MIR168	MI0018985
aau-miR172	MIMAT0022673
aau-MIR172	MI0018980
aau-miR2086	MIMAT0022676
aau-MIR2086	MI0018983
aau-miR319	MIMAT0022675
aau-MIR319	MI0018982
aau-miR396	MIMAT0022674
aau-MIR396	MI0018981
