miRNA	status	mi-acc	5p-acc	3p-acc	div
mir-130b	white	MI0000748	MIMAT0004680	MIMAT0000691	
mir-132	white	MI0000449	MIMAT0004594	MIMAT0000426	
mir-133a-1	white	MI0000450	MIMAT0026478	MIMAT0000427	
mir-133a-2	white	MI0000451	MIMAT0026478	MIMAT0000427	
mir-133b	white	MI0000822			MIMAT0000770
mir-134	white	MI0000474	MIMAT0000447	MIMAT0026481	
mir-135a-1	white	MI0000452	MIMAT0000428	MIMAT0004595	
mir-135a-2	white	MI0000453	MIMAT0000428		
mir-135b	white	MI0000810	MIMAT0000758	MIMAT0004698	
mir-136	white	MI0000475	MIMAT0000448	MIMAT0004606	
mir-137	white	MI0000454			MIMAT0000429
mir-138-1	white	MI0000476	MIMAT0000430	MIMAT0004607	
mir-138-2	white	MI0000455	MIMAT0000430	MIMAT0004596	
mir-139	white	MI0000261	MIMAT0000250	MIMAT0004552	
mir-140	white	MI0000456	MIMAT0000431	MIMAT0004597	
mir-141	white	MI0000457	MIMAT0004598	MIMAT0000432	
mir-142	white	MI0000458	MIMAT0000433	MIMAT0000434	
mir-143	white	MI0000459	MIMAT0004599	MIMAT0000435	
mir-144	white	MI0000460	MIMAT0004600	MIMAT0000436	
mir-145	white	MI0000461	MIMAT0000437	MIMAT0004601	
mir-146a	white	MI0000477	MIMAT0000449	MIMAT0004608	
mir-146b	white	MI0003129	MIMAT0002809	MIMAT0004766	
mir-147b	white	MI0005544			MIMAT0004928
mir-148a	white	MI0000253	MIMAT0004549	MIMAT0000243	
mir-148b	white	MI0000811	MIMAT0004699	MIMAT0000759	
mir-149	white	MI0000478	MIMAT0000450	MIMAT0004609	
mir-150	white	MI0000479	MIMAT0000451	MIMAT0004610	
mir-151a	white	MI0000809	MIMAT0004697	MIMAT0000757	
mir-152	white	MI0000462	MIMAT0026479	MIMAT0000438	
mir-153-1	white	MI0000463		MIMAT0000439	
mir-153-2	white	MI0000464	MIMAT0026480	MIMAT0000439	
mir-154	white	MI0000480	MIMAT0000452	MIMAT0000453	
mir-155	white	MI0000681	MIMAT0000646	MIMAT0004658	
