miRNA	status	mi-acc	5p-acc	3p-acc	div
mir-3126	white	MI0014143	MIMAT0014989	MIMAT0015377	
mir-3127	white	MI0014144	MIMAT0014990	MIMAT0019201	
mir-3140	white	MI0014163	MIMAT0019204	MIMAT0015008	
mir-3144	white	MI0014169	MIMAT0015014	MIMAT0015015	
mir-3145	white	MI0014170	MIMAT0019205	MIMAT0015016	
mir-3150b	white	MI0016426	MIMAT0019226	MIMAT0018194	
mir-3171	white	MI0014202			MIMAT0015046
mir-3173	white	MI0014204	MIMAT0019214	MIMAT0015048	
mir-3179-1	white	MI0014213			MIMAT0015056
mir-3180-1	white	MI0014214	MIMAT0015057	MIMAT0015058	
mir-3186	white	MI0014229	MIMAT0015067	MIMAT0015068	
mir-3187	white	MI0014231	MIMAT0019216	MIMAT0015069	
mir-3194	white	MI0014239	MIMAT0015078	MIMAT0019218	
mir-3200	white	MI0014249	MIMAT0017392	MIMAT0015085	
mir-3605	white	MI0015995	MIMAT0017981	MIMAT0017982	
mir-3611	white	MI0016001			MIMAT0017988
mir-3612	white	MI0016002			MIMAT0017989
mir-3613	white	MI0016003	MIMAT0017990	MIMAT0017991	
mir-3614	white	MI0016004	MIMAT0017992	MIMAT0017993	
mir-3617	white	MI0016007	MIMAT0017997	MIMAT0022966	
mir-3619	white	MI0016009	MIMAT0017999	MIMAT0019219	
mir-3622a	white	MI0016013	MIMAT0018003	MIMAT0018004	
mir-3681	white	MI0016082	MIMAT0018108	MIMAT0018109	
mir-3909	white	MI0016413			MIMAT0018183
mir-3918	white	MI0016424			MIMAT0018192
mir-3940	white	MI0016597	MIMAT0019229	MIMAT0018356	
mir-3942	white	MI0016599	MIMAT0018358	MIMAT0019230	
mir-3944	white	MI0016601	MIMAT0019231	MIMAT0018360	
mir-4424	white	MI0016763			MIMAT0018939
mir-4428	white	MI0016767			MIMAT0018943
mir-4524a	white	MI0016891	MIMAT0019062	MIMAT0019063	
mir-4640	white	MI0017267	MIMAT0019699	MIMAT0019700	
mir-4661	white	MI0017289	MIMAT0019729	MIMAT0019730	
mir-4662a	white	MI0017290	MIMAT0019731	MIMAT0019732	
mir-4664	white	MI0017294	MIMAT0019737	MIMAT0019738	
mir-4731	white	MI0017368	MIMAT0019853	MIMAT0019854	
mir-4761	white	MI0017402	MIMAT0019908	MIMAT0019909	
mir-4766	white	MI0017407	MIMAT0019917	MIMAT0019918	
mir-5009	white	MI0017877	MIMAT0021041	MIMAT0021042	
mir-5010	white	MI0017878	MIMAT0021043	MIMAT0021044	
mir-5194	white	MI0018173			MIMAT0021125
mir-5579	white	MI0019133	MIMAT0022269	MIMAT0022270	
mir-5581	white	MI0019136	MIMAT0022275	MIMAT0022276	
mir-5687	white	MI0019291			MIMAT0022478
mir-6720	white	MI0022555	MIMAT0027345	MIMAT0025851	
mir-451a	yellow	MI0001729			MIMAT0001631
mir-592	yellow	MI0003604			MIMAT0003260
mir-1306	yellow	MI0006443	MIMAT0022726	MIMAT0005950	
mir-3618	yellow	MI0016008			MIMAT0017998
mir-323b	purple	MI0014206	MIMAT0001630	MIMAT0015050	
mir-378b	purple	MI0014154			MIMAT0014999
mir-378d-1	purple	MI0016749			MIMAT0018926
mir-378e	purple	MI0016750			MIMAT0018927
mir-378f	purple	MI0016756			MIMAT0018932
mir-378h	purple	MI0016808			MIMAT0018984
mir-378i	purple	MI0016902			MIMAT0019074
mir-378j	purple	MI0021273			MIMAT0024612
mir-422a	purple	MI0001444			MIMAT0001339
mir-498	purple	MI0003142			MIMAT0002824
mir-544b	purple	MI0014159			MIMAT0015004
mir-553	purple	MI0003558			MIMAT0003216
mir-557	purple	MI0003563			MIMAT0003221
mir-559	purple	MI0003565			MIMAT0003223
mir-562	purple	MI0003568			MIMAT0003226
mir-568	purple	MI0003574			MIMAT0003232
mir-569	purple	MI0003576			MIMAT0003234
mir-571	purple	MI0003578			MIMAT0003236
mir-573	purple	MI0003580			MIMAT0003238
mir-586	purple	MI0003594			MIMAT0003252
mir-587	purple	MI0003595			MIMAT0003253
mir-588	purple	MI0003597			MIMAT0003255
mir-591	purple	MI0003603			MIMAT0003259
mir-595	purple	MI0003607			MIMAT0003263
mir-596	purple	MI0003608			MIMAT0003264
mir-601	purple	MI0003614			MIMAT0003269
mir-602	purple	MI0003615			MIMAT0003270
mir-606	purple	MI0003619			MIMAT0003274
mir-609	purple	MI0003622			MIMAT0003277
mir-610	purple	MI0003623			MIMAT0003278
mir-613	purple	MI0003626			MIMAT0003281
mir-617	purple	MI0003631			MIMAT0003286
mir-618	purple	MI0003632			MIMAT0003287
mir-621	purple	MI0003635			MIMAT0003290
mir-623	purple	MI0003637			MIMAT0003292
mir-626	purple	MI0003640			MIMAT0003295
mir-631	purple	MI0003645			MIMAT0003300
mir-633	purple	MI0003648			MIMAT0003303
mir-634	purple	MI0003649			MIMAT0003304
mir-637	purple	MI0003652			MIMAT0003307
mir-642b	purple	MI0016685	MIMAT0022736	MIMAT0018444	
mir-644a	purple	MI0003659			MIMAT0003314
mir-647	purple	MI0003662			MIMAT0003317
mir-648	purple	MI0003663			MIMAT0003318
mir-649	purple	MI0003664			MIMAT0003319
mir-661	purple	MI0003669			MIMAT0003324
mir-759	purple	MI0004065			MIMAT0010497
mir-766	purple	MI0003836	MIMAT0022714	MIMAT0003888	
mir-767	purple	MI0003763	MIMAT0003882	MIMAT0003883	
mir-770	purple	MI0005118	MIMAT0003948		
mir-891a	purple	MI0005524	MIMAT0004902	MIMAT0026717	
mir-891b	purple	MI0005534			MIMAT0004913
mir-921	purple	MI0005713			MIMAT0004971
mir-922	purple	MI0005714			MIMAT0004972
mir-924	purple	MI0005716			MIMAT0004974
mir-936	purple	MI0005758			MIMAT0004979
mir-938	purple	MI0005760			MIMAT0004981
mir-943	purple	MI0005768			MIMAT0004986
mir-1184-1	purple	MI0006277			MIMAT0005829
mir-1200	purple	MI0006332			MIMAT0005863
mir-1229	purple	MI0006319	MIMAT0022942	MIMAT0005584	
mir-1253	purple	MI0006387			MIMAT0005904
mir-1257	purple	MI0006391			MIMAT0005908
mir-1258	purple	MI0006392			MIMAT0005909
mir-1263	purple	MI0006398			MIMAT0005915
mir-1265	purple	MI0006401			MIMAT0005918
mir-1276	purple	MI0006416			MIMAT0005930
mir-1284	purple	MI0006431			MIMAT0005941
mir-1286	purple	MI0006348			MIMAT0005877
mir-1289-1	purple	MI0006350			MIMAT0005879
mir-1289-2	purple	MI0006351			MIMAT0005879
mir-1290	purple	MI0006352			MIMAT0005880
mir-1294	purple	MI0006356			MIMAT0005884
mir-1299	purple	MI0006359			MIMAT0005887
mir-1305	purple	MI0006372			MIMAT0005893
mir-1323	purple	MI0003786			MIMAT0005795
mir-1324	purple	MI0006657			MIMAT0005956
mir-1468	purple	MI0003782	MIMAT0006789	MIMAT0026638	
mir-1471	purple	MI0007076			MIMAT0007349
mir-1539	purple	MI0007260			MIMAT0007401
mir-1827	purple	MI0008195			MIMAT0006767
mir-1910	purple	MI0008331	MIMAT0007884	MIMAT0026917	
mir-1912	purple	MI0008333			MIMAT0007887
mir-2053	purple	MI0010487			MIMAT0009978
mir-2054	purple	MI0010488			MIMAT0009979
mir-2113	purple	MI0003939			MIMAT0009206
mir-2117	purple	MI0010636			MIMAT0011162
mir-2392	purple	MI0016870			MIMAT0019043
mir-2909	purple	MI0013083			MIMAT0013863
mir-3115	purple	MI0014127			MIMAT0014977
mir-3116-1	purple	MI0014128			MIMAT0014978
mir-3117	purple	MI0014130	MIMAT0019197	MIMAT0014979	
mir-3118-1	purple	MI0014131			MIMAT0014980
mir-3118-2	purple	MI0014132			MIMAT0014980
mir-3119-1	purple	MI0014134			MIMAT0014981
mir-3119-2	purple	MI0014135			MIMAT0014981
mir-3128	purple	MI0014145			MIMAT0014991
mir-3130-1	purple	MI0014147	MIMAT0014995	MIMAT0014994	
mir-3131	purple	MI0014151			MIMAT0014996
mir-3132	purple	MI0014152			MIMAT0014997
mir-3133	purple	MI0014153			MIMAT0014998
mir-3136	purple	MI0014158	MIMAT0015003	MIMAT0019203	
mir-3137	purple	MI0014160			MIMAT0015005
mir-3139	purple	MI0014162			MIMAT0015007
mir-3146	purple	MI0014172			MIMAT0015018
mir-3147	purple	MI0014173			MIMAT0015019
mir-3148	purple	MI0014175			MIMAT0015021
mir-3149	purple	MI0014176			MIMAT0015022
mir-3151	purple	MI0014178	MIMAT0015024	MIMAT0027026	
mir-3153	purple	MI0014180			MIMAT0015026
mir-3156-1	purple	MI0014184	MIMAT0015030	MIMAT0019209	
mir-3156-2	purple	MI0014230	MIMAT0015030	MIMAT0019209	
mir-3156-3	purple	MI0014242	MIMAT0015030		
mir-3158-1	purple	MI0014186	MIMAT0019211	MIMAT0015032	
mir-3161	purple	MI0014191			MIMAT0015035
mir-3163	purple	MI0014193			MIMAT0015037
mir-3164	purple	MI0014194			MIMAT0015038
mir-3165	purple	MI0014195			MIMAT0015039
mir-3167	purple	MI0014198			MIMAT0015042
mir-3169	purple	MI0014200			MIMAT0015044
mir-3170	purple	MI0014201			MIMAT0015045
mir-3174	purple	MI0014208			MIMAT0015051
mir-3181	purple	MI0014223			MIMAT0015061
mir-3183	purple	MI0014225			MIMAT0015063
mir-3185	purple	MI0014227			MIMAT0015065
mir-3621	purple	MI0016012			MIMAT0018002
mir-3650	purple	MI0016050			MIMAT0018070
mir-3660	purple	MI0016061			MIMAT0018081
mir-3662	purple	MI0016063			MIMAT0018083
mir-3663	purple	MI0016064	MIMAT0018084	MIMAT0018085	
mir-3668	purple	MI0016069			MIMAT0018091
mir-3672	purple	MI0016073			MIMAT0018095
mir-3679	purple	MI0016080	MIMAT0018104	MIMAT0018105	
mir-3683	purple	MI0016084			MIMAT0018111
mir-3684	purple	MI0016085			MIMAT0018112
mir-3686	purple	MI0016087			MIMAT0018114
mir-3688-1	purple	MI0016089	MIMAT0019223	MIMAT0018116	
mir-3690-1	purple	MI0016091			MIMAT0018119
mir-3713	purple	MI0016134			MIMAT0018164
mir-3714	purple	MI0016135			MIMAT0018165
mir-3910-1	purple	MI0016414			MIMAT0018184
mir-3911	purple	MI0016415			MIMAT0018185
mir-3915	purple	MI0016420			MIMAT0018189
mir-3919	purple	MI0016425			MIMAT0018193
mir-3920	purple	MI0016427			MIMAT0018195
mir-3923	purple	MI0016430			MIMAT0018198
mir-3924	purple	MI0016432			MIMAT0018199
mir-3927	purple	MI0016435	MIMAT0022970	MIMAT0018202	
mir-3935	purple	MI0016591			MIMAT0018350
mir-3936	purple	MI0016592			MIMAT0018351
mir-3937	purple	MI0016593			MIMAT0018352
mir-3938	purple	MI0016594			MIMAT0018353
mir-3943	purple	MI0016600			MIMAT0018359
mir-3972	purple	MI0016990			MIMAT0019357
mir-3975	purple	MI0016993			MIMAT0019360
mir-4268	purple	MI0015874			MIMAT0016896
mir-4270	purple	MI0015878			MIMAT0016900
mir-4277	purple	MI0015886			MIMAT0016908
mir-4280	purple	MI0015889			MIMAT0016911
mir-4301	purple	MI0015828			MIMAT0016850
mir-4313	purple	MI0015843			MIMAT0016865
mir-4327	purple	MI0015867			MIMAT0016889
mir-4420	purple	MI0016757			MIMAT0018933
mir-4421	purple	MI0016758			MIMAT0018934
mir-4425	purple	MI0016764			MIMAT0018940
mir-4427	purple	MI0016766			MIMAT0018942
mir-4429	purple	MI0016768			MIMAT0018944
mir-4435-1	purple	MI0016775			MIMAT0018951
mir-4435-2	purple	MI0016777			MIMAT0018951
mir-4438	purple	MI0016781			MIMAT0018956
mir-4439	purple	MI0016782			MIMAT0018957
mir-4440	purple	MI0016783			MIMAT0018958
mir-4450	purple	MI0016795			MIMAT0018971
mir-4457	purple	MI0016803			MIMAT0018979
mir-4458	purple	MI0016804			MIMAT0018980
mir-4460	purple	MI0016806			MIMAT0018982
mir-4462	purple	MI0016810			MIMAT0018986
mir-4465	purple	MI0016816			MIMAT0018992
mir-4467	purple	MI0016818			MIMAT0018994
mir-4469	purple	MI0016820			MIMAT0018996
mir-4471	purple	MI0016822			MIMAT0018998
mir-4475	purple	MI0016827			MIMAT0019002
mir-4477a	purple	MI0016829			MIMAT0019004
mir-4480	purple	MI0016841			MIMAT0019014
mir-4482	purple	MI0016843	MIMAT0019016	MIMAT0020958	
mir-4490	purple	MI0016852			MIMAT0019025
mir-4493	purple	MI0016855			MIMAT0019028
mir-4494	purple	MI0016856			MIMAT0019029
mir-4495	purple	MI0016857			MIMAT0019030
mir-4498	purple	MI0016860			MIMAT0019033
mir-4501	purple	MI0016864			MIMAT0019037
mir-4503	purple	MI0016866			MIMAT0019039
mir-4506	purple	MI0016869			MIMAT0019042
mir-4507	purple	MI0016871			MIMAT0019044
mir-4509-1	purple	MI0016873			MIMAT0019046
mir-4517	purple	MI0016883			MIMAT0019054
mir-4523	purple	MI0016890			MIMAT0019061
mir-4526	purple	MI0016893			MIMAT0019065
mir-4527	purple	MI0016894			MIMAT0019066
mir-4528	purple	MI0016895			MIMAT0019067
mir-4635	purple	MI0017262			MIMAT0019692
mir-4637	purple	MI0017264			MIMAT0019694
mir-4641	purple	MI0017268			MIMAT0019701
mir-4642	purple	MI0017269			MIMAT0019702
mir-4643	purple	MI0017270			MIMAT0019703
mir-4644	purple	MI0017271			MIMAT0019704
mir-4651	purple	MI0017279			MIMAT0019715
mir-4654	purple	MI0017282			MIMAT0019720
mir-4656	purple	MI0017284			MIMAT0019723
mir-4663	purple	MI0017292			MIMAT0019735
mir-4669	purple	MI0017300			MIMAT0019749
mir-4672	purple	MI0017303			MIMAT0019754
mir-4673	purple	MI0017304			MIMAT0019755
mir-4675	purple	MI0017306			MIMAT0019757
mir-4677	purple	MI0017308	MIMAT0019760	MIMAT0019761	
mir-4678	purple	MI0017309			MIMAT0019762
mir-4681	purple	MI0017313			MIMAT0019766
mir-4682	purple	MI0017314			MIMAT0019767
mir-4684	purple	MI0017316	MIMAT0019769	MIMAT0019770	
mir-4686	purple	MI0017318			MIMAT0019773
mir-4689	purple	MI0017322			MIMAT0019778
mir-4696	purple	MI0017329			MIMAT0019790
mir-4698	purple	MI0017331			MIMAT0019793
mir-4703	purple	MI0017336	MIMAT0019801	MIMAT0019802	
mir-4705	purple	MI0017338			MIMAT0019805
mir-4706	purple	MI0017339			MIMAT0019806
mir-4712	purple	MI0017346	MIMAT0019818	MIMAT0019819	
mir-4718	purple	MI0017353			MIMAT0019831
mir-4719	purple	MI0017354			MIMAT0019832
mir-4721	purple	MI0017356			MIMAT0019835
mir-4725	purple	MI0017362	MIMAT0019843	MIMAT0019844	
mir-4727	purple	MI0017364	MIMAT0019847	MIMAT0019848	
mir-4730	purple	MI0017367			MIMAT0019852
mir-4734	purple	MI0017371			MIMAT0019859
mir-4739	purple	MI0017377			MIMAT0019868
mir-4741	purple	MI0017379			MIMAT0019871
mir-4744	purple	MI0017382			MIMAT0019875
mir-4748	purple	MI0017387			MIMAT0019884
mir-4751	purple	MI0017390			MIMAT0019888
mir-4752	purple	MI0017391			MIMAT0019889
mir-4754	purple	MI0017394			MIMAT0019894
mir-4756	purple	MI0017397	MIMAT0019899	MIMAT0019900	
mir-4759	purple	MI0017400			MIMAT0019905
mir-4765	purple	MI0017406			MIMAT0019916
mir-4773-1	purple	MI0017415			MIMAT0019928
mir-4779	purple	MI0017423			MIMAT0019938
mir-4780	purple	MI0017424			MIMAT0019939
mir-4784	purple	MI0017429			MIMAT0019948
mir-4788	purple	MI0017435			MIMAT0019958
mir-4794	purple	MI0017441			MIMAT0019967
mir-4798	purple	MI0017445	MIMAT0019974	MIMAT0019975	
mir-4801	purple	MI0017449			MIMAT0019980
mir-4803	purple	MI0017451			MIMAT0019983
mir-5000	purple	MI0017866	MIMAT0021019	MIMAT0021020	
mir-5002	purple	MI0017868	MIMAT0021023	MIMAT0021024	
mir-5003	purple	MI0017869	MIMAT0021025	MIMAT0021026	
mir-5004	purple	MI0017870	MIMAT0021027	MIMAT0021028	
mir-5007	purple	MI0017874	MIMAT0021035	MIMAT0021036	
mir-5087	purple	MI0017976			MIMAT0021079
mir-5092	purple	MI0017981			MIMAT0021084
mir-5093	purple	MI0017982			MIMAT0021085
mir-5094	purple	MI0017983			MIMAT0021086
mir-5186	purple	MI0018165			MIMAT0021116
mir-5190	purple	MI0018169			MIMAT0021121
mir-5195	purple	MI0018174	MIMAT0021126	MIMAT0021127	
mir-5580	purple	MI0019135	MIMAT0022273	MIMAT0022274	
mir-5582	purple	MI0019138	MIMAT0022279	MIMAT0022280	
mir-5584	purple	MI0019141	MIMAT0022283	MIMAT0022284	
mir-5586	purple	MI0019143	MIMAT0022287	MIMAT0022288	
mir-5587	purple	MI0019144	MIMAT0022289	MIMAT0022290	
mir-5588	purple	MI0019147	MIMAT0022295	MIMAT0022296	
mir-5591	purple	MI0019151	MIMAT0022301	MIMAT0022302	
mir-5681a	purple	MI0019281			MIMAT0022469
mir-5685	purple	MI0019287			MIMAT0022475
mir-5688	purple	MI0019292			MIMAT0022479
mir-5691	purple	MI0019296			MIMAT0022483
mir-5693	purple	MI0019300			MIMAT0022486
mir-5700	purple	MI0019307			MIMAT0022493
mir-5702	purple	MI0019309			MIMAT0022495
mir-5704	purple	MI0019312			MIMAT0022498
mir-5705	purple	MI0019313			MIMAT0022499
mir-5706	purple	MI0019314			MIMAT0022500
mir-5707	purple	MI0019315			MIMAT0022501
mir-6070	purple	MI0020347			MIMAT0023695
mir-6072	purple	MI0020349			MIMAT0023697
mir-6074	purple	MI0020351			MIMAT0023699
mir-6079	purple	MI0020356			MIMAT0023704
mir-6081	purple	MI0020358			MIMAT0023706
mir-6086	purple	MI0020363			MIMAT0023711
mir-6129	purple	MI0021274			MIMAT0024613
mir-6499	purple	MI0022209	MIMAT0025450	MIMAT0025451	
mir-6509	purple	MI0022221	MIMAT0025474	MIMAT0025475	
mir-6739	purple	MI0022584	MIMAT0027379	MIMAT0027380	
mir-6746	purple	MI0022591	MIMAT0027392	MIMAT0027393	
mir-6748	purple	MI0022593	MIMAT0027396	MIMAT0027397	
mir-6755	purple	MI0022600	MIMAT0027410	MIMAT0027411	
mir-6770-1	purple	MI0022615	MIMAT0027440	MIMAT0027441	
mir-6851	purple	MI0022697	MIMAT0027602	MIMAT0027603	
mir-7973-1	purple	MI0025748			MIMAT0031176
mir-6718	purple	MI0022553	MIMAT0025849		
mir-6721	purple	MI0022556	MIMAT0025852		
mir-7706	purple	MI0025242			MIMAT0030021
mir-23c	rejected	MI0016010			MIMAT0018000
mir-147a	rejected	MI0000262			MIMAT0000251
mir-151b	rejected	MI0003772			MIMAT0010214
mir-198	rejected	MI0000240			MIMAT0000228
mir-297	rejected	MI0005775			MIMAT0004450
mir-298	rejected	MI0005523			MIMAT0004901
mir-300	rejected	MI0005525			MIMAT0004903
mir-302e	rejected	MI0006417			MIMAT0005931
mir-302f	rejected	MI0006418			MIMAT0005932
mir-320a	rejected	MI0000542			MIMAT0000510
mir-320b-1	rejected	MI0003776			MIMAT0005792
mir-320b-2	rejected	MI0003839			MIMAT0005792
mir-320c-1	rejected	MI0003778			MIMAT0005793
mir-320c-2	rejected	MI0008191			MIMAT0005793
mir-320d-1	rejected	MI0008190			MIMAT0006764
mir-320d-2	rejected	MI0008192			MIMAT0006764
mir-320e	rejected	MI0014234			MIMAT0015072
mir-378c	rejected	MI0015825			MIMAT0016847
mir-378d-2	rejected	MI0003840			MIMAT0018926
mir-378g	rejected	MI0016761			MIMAT0018937
mir-384	rejected	MI0001145			MIMAT0001075
mir-466	rejected	MI0014157			MIMAT0015002
mir-484	rejected	MI0002468			MIMAT0002174
mir-492	rejected	MI0003131			MIMAT0002812
mir-548	rejected				
mir-549a	rejected	MI0003679			MIMAT0003333
mir-550a-1	rejected	MI0003600	MIMAT0004800	MIMAT0003257	
mir-550a-2	rejected	MI0003601	MIMAT0004800	MIMAT0003257	
mir-550a-3	rejected	MI0003762	MIMAT0020925	MIMAT0003257	
mir-550b-1	rejected	MI0016686	MIMAT0022737	MIMAT0018445	
mir-550b-2	rejected	MI0016687	MIMAT0022737	MIMAT0018445	
mir-554	rejected	MI0003559			MIMAT0003217
mir-555	rejected	MI0003561			MIMAT0003219
mir-558	rejected	MI0003564			MIMAT0003222
mir-563	rejected	MI0003569			MIMAT0003227
mir-564	rejected	MI0003570			MIMAT0003228
mir-566	rejected	MI0003572			MIMAT0003230
mir-567	rejected	MI0003573			MIMAT0003231
mir-570	rejected	MI0003577	MIMAT0022707	MIMAT0003235	
mir-572	rejected	MI0003579			MIMAT0003237
mir-575	rejected	MI0003582			MIMAT0003240
mir-578	rejected	MI0003585			MIMAT0003243
mir-579	rejected	MI0003586	MIMAT0026616	MIMAT0003244	
mir-581	rejected	MI0003588			MIMAT0003246
mir-583	rejected	MI0003590			MIMAT0003248
mir-593	rejected	MI0003605	MIMAT0003261	MIMAT0004802	
mir-597	rejected	MI0003609	MIMAT0003265	MIMAT0026619	
mir-598	rejected	MI0003610	MIMAT0026620	MIMAT0003266	
mir-600	rejected	MI0003613			MIMAT0003268
mir-603	rejected	MI0003616			MIMAT0003271
mir-604	rejected	MI0003617			MIMAT0003272
mir-607	rejected	MI0003620			MIMAT0003275
mir-608	rejected	MI0003621			MIMAT0003276
mir-611	rejected	MI0003624			MIMAT0003279
mir-612	rejected	MI0003625			MIMAT0003280
mir-614	rejected	MI0003627			MIMAT0003282
mir-619	rejected	MI0003633	MIMAT0026622	MIMAT0003288	
mir-620	rejected	MI0003634			MIMAT0003289
mir-622	rejected	MI0003636			MIMAT0003291
mir-630	rejected	MI0003644			MIMAT0003299
mir-632	rejected	MI0003647			MIMAT0003302
mir-635	rejected	MI0003650			MIMAT0003305
mir-636	rejected	MI0003651			MIMAT0003306
mir-638	rejected	MI0003653			MIMAT0003308
mir-639	rejected	MI0003654			MIMAT0003309
mir-640	rejected	MI0003655			MIMAT0003310
mir-643	rejected	MI0003658			MIMAT0003313
mir-645	rejected	MI0003660			MIMAT0003315
mir-646	rejected	MI0003661			MIMAT0003316
mir-650	rejected	MI0003665			MIMAT0003320
mir-657	rejected	MI0003681			MIMAT0003335
mir-658	rejected	MI0003682			MIMAT0003336
mir-659	rejected	MI0003683	MIMAT0022710	MIMAT0003337	
mir-662	rejected	MI0003670			MIMAT0003325
mir-663a	rejected	MI0003672			MIMAT0003326
mir-663b	rejected	MI0006336			MIMAT0005867
mir-664a	rejected	MI0006442	MIMAT0005948	MIMAT0005949	
mir-664b	rejected	MI0019134	MIMAT0022271	MIMAT0022272	
mir-665	rejected	MI0005563			MIMAT0004952
mir-668	rejected	MI0003761	MIMAT0026636	MIMAT0003881	
mir-711	rejected	MI0012488			MIMAT0012734
mir-718	rejected	MI0012489			MIMAT0012735
mir-761	rejected	MI0003941			MIMAT0010364
mir-762	rejected	MI0003892			MIMAT0010313
mir-764	rejected	MI0003944			MIMAT0010367
mir-765	rejected	MI0005116			MIMAT0003945
mir-876	rejected	MI0005542	MIMAT0004924	MIMAT0004925	
mir-877	rejected	MI0005561	MIMAT0004949	MIMAT0004950	
mir-920	rejected	MI0005712			MIMAT0004970
mir-933	rejected	MI0005755			MIMAT0004976
mir-935	rejected	MI0005757			MIMAT0004978
mir-937	rejected	MI0005759	MIMAT0022938	MIMAT0004980	
mir-939	rejected	MI0005761	MIMAT0004982	MIMAT0022939	
mir-940	rejected	MI0005762			MIMAT0004983
mir-941-1	rejected	MI0005763			MIMAT0004984
mir-941-2	rejected	MI0005764			MIMAT0004984
mir-941-3	rejected	MI0005765			MIMAT0004984
mir-941-4	rejected	MI0005766			MIMAT0004984
mir-941-5	rejected	MI0031520			MIMAT0004984
mir-1178	rejected	MI0006271	MIMAT0022940	MIMAT0005823	
mir-1181	rejected	MI0006274			MIMAT0005826
mir-1182	rejected	MI0006275			MIMAT0005827
mir-1183	rejected	MI0006276			MIMAT0005828
mir-1199	rejected	MI0020340	MIMAT0031119	MIMAT0031120	
mir-1202	rejected	MI0006334			MIMAT0005865
mir-1203	rejected	MI0006335			MIMAT0005866
mir-1204	rejected	MI0006337			MIMAT0005868
mir-1205	rejected	MI0006338			MIMAT0005869
mir-1206	rejected	MI0006339			MIMAT0005870
mir-1207	rejected	MI0006340	MIMAT0005871	MIMAT0005872	
mir-1208	rejected	MI0006341			MIMAT0005873
mir-1224	rejected	MI0003764	MIMAT0005458	MIMAT0005459	
mir-1225	rejected	MI0006311	MIMAT0005572	MIMAT0005573	
mir-1226	rejected	MI0006313	MIMAT0005576	MIMAT0005577	
mir-1227	rejected	MI0006316	MIMAT0022941	MIMAT0005580	
mir-1228	rejected	MI0006318	MIMAT0005582	MIMAT0005583	
mir-1231	rejected	MI0006321			MIMAT0005586
mir-1233-1	rejected	MI0006323	MIMAT0022943	MIMAT0005588	
mir-1233-2	rejected	MI0015973	MIMAT0022943	MIMAT0005588	
mir-1234	rejected	MI0006324		MIMAT0005589	
mir-1236	rejected	MI0006326	MIMAT0022945	MIMAT0005591	
mir-1237	rejected	MI0006327	MIMAT0022946	MIMAT0005592	
mir-1238	rejected	MI0006328	MIMAT0022947	MIMAT0005593	
mir-1243	rejected	MI0006373			MIMAT0005894
mir-1244-1	rejected	MI0006379			MIMAT0005896
mir-1244-2	rejected	MI0015974			MIMAT0005896
mir-1244-3	rejected	MI0015975			MIMAT0005896
mir-1244-4	rejected	MI0031511			MIMAT0005896
mir-1246	rejected	MI0006381			MIMAT0005898
mir-1248	rejected	MI0006383			MIMAT0005900
mir-1250	rejected	MI0006385	MIMAT0005902	MIMAT0026740	
mir-1254-1	rejected	MI0006388			MIMAT0005905
mir-1254-2	rejected	MI0016747			MIMAT0005905
mir-1255a	rejected	MI0006389			MIMAT0005906
mir-1255b-1	rejected	MI0006435	MIMAT0005945		
mir-1255b-2	rejected	MI0006436	MIMAT0005945	MIMAT0022725	
mir-1260a	rejected	MI0006394			MIMAT0005911
mir-1260b	rejected	MI0014197			MIMAT0015041
mir-1261	rejected	MI0006396			MIMAT0005913
mir-1262	rejected	MI0006397			MIMAT0005914
mir-1267	rejected	MI0006404			MIMAT0005921
mir-1268a	rejected	MI0006405			MIMAT0005922
mir-1268b	rejected	MI0016748			MIMAT0018925
mir-1269b	rejected	MI0016888			MIMAT0019059
mir-1272	rejected	MI0006408			MIMAT0005925
mir-1273a	rejected	MI0006409			MIMAT0005926
mir-1273c	rejected	MI0014171			MIMAT0015017
mir-1273d	rejected	MI0014254			MIMAT0015090
mir-1273e	rejected	MI0016059			MIMAT0018079
mir-1273f	rejected	MI0018002			MIMAT0020601
mir-1273g	rejected	MI0018003	MIMAT0020602	MIMAT0022742	
mir-1273h	rejected	MI0025512	MIMAT0030415	MIMAT0030416	
mir-1275	rejected	MI0006415			MIMAT0005929
mir-1279	rejected	MI0006426			MIMAT0005937
mir-1281	rejected	MI0006428			MIMAT0005939
mir-1282	rejected	MI0006429			MIMAT0005940
mir-1285-1	rejected	MI0006346	MIMAT0022719	MIMAT0005876	
mir-1285-2	rejected	MI0006347		MIMAT0005876	
mir-1288	rejected	MI0006432	MIMAT0026743	MIMAT0005942	
mir-1291	rejected	MI0006353			MIMAT0005881
mir-1292	rejected	MI0006433	MIMAT0005943	MIMAT0022948	
mir-1293	rejected	MI0006355			MIMAT0005883
mir-1295b	rejected	MI0019146	MIMAT0022293	MIMAT0022294	
mir-1297	rejected	MI0006358			MIMAT0005886
mir-1302-1	rejected	MI0006362			MIMAT0005890
mir-1302-2	rejected	MI0006363			MIMAT0005890
mir-1302-3	rejected	MI0006364			MIMAT0005890
mir-1302-4	rejected	MI0006365			MIMAT0005890
mir-1302-5	rejected	MI0006366			MIMAT0005890
mir-1302-6	rejected	MI0006367			MIMAT0005890
mir-1302-7	rejected	MI0006368			MIMAT0005890
mir-1302-8	rejected	MI0006369			MIMAT0005890
