miRNA	status
mir-4791 	rejected
mir-4792 	rejected
mir-4793 	rejected
mir-4795 	rejected
mir-4796 	rejected
mir-4797 	rejected
mir-4799 	rejected
mir-4800 	rejected
mir-4802 	rejected
mir-4804 	rejected
mir-4999 	rejected
mir-5001 	rejected
mir-5006 	rejected
mir-5008 	rejected
mir-5011 	rejected
mir-5047 	rejected
mir-5088 	rejected
mir-5089 	rejected
mir-5090 	rejected
mir-5091 	rejected
mir-5095 	rejected
mir-5096 	rejected
mir-5100 	rejected
mir-5187 	rejected
mir-5188 	rejected
mir-5189 	rejected
mir-5191 	rejected
mir-5192 	rejected
mir-5193 	rejected
mir-5196 	rejected
mir-5197 	rejected
mir-5571 	rejected
mir-5572 	rejected
mir-5583-1 	rejected
mir-5585 	rejected
mir-5589 	rejected
mir-5590 	rejected
mir-5680 	rejected
mir-5682 	rejected
mir-5683 	rejected
mir-5684 	rejected
mir-5689 	rejected
mir-5690 	rejected
mir-5692a-1 	rejected
mir-5692a-2 	rejected
mir-5692b 	rejected
mir-5692c-1 	rejected
mir-5692c-2 	rejected
mir-5694 	rejected
mir-5695 	rejected
mir-5696 	rejected
mir-5697 	rejected
mir-5698 	rejected
mir-5699 	rejected
mir-5701-1 	rejected
mir-5701-2 	rejected
mir-5701-3	rejected
mir-5703 	rejected
mir-5708 	rejected
mir-5739 	rejected
mir-5787 	rejected
mir-6068 	rejected
mir-6069 	rejected
mir-6071 	rejected
mir-6073 	rejected
mir-6075 	rejected
mir-6076 	rejected
mir-6077 	rejected
mir-6078 	rejected
mir-6080 	rejected
mir-6082 	rejected
mir-6083 	rejected
mir-6084 	rejected
mir-6085 	rejected
mir-6087 	rejected
mir-6088 	rejected
mir-6089-1 	rejected
mir-6089-2 	rejected
mir-6090 	rejected
mir-6124 	rejected
mir-6125 	rejected
mir-6126 	rejected
mir-6127 	rejected
mir-6128 	rejected
mir-6130 	rejected
mir-6131 	rejected
mir-6132 	rejected
mir-6133 	rejected
mir-6134 	rejected
mir-6165 	rejected
mir-6500 	rejected
mir-6501 	rejected
mir-6502 	rejected
mir-6503 	rejected
mir-6504 	rejected
mir-6505 	rejected
mir-6506 	rejected
mir-6507 	rejected
mir-6508 	rejected
mir-6510 	rejected
mir-6511a-1 	rejected
mir-6511a-2 	rejected
mir-6511a-3 	rejected
mir-6511a-4 	rejected
mir-6511b-1 	rejected
mir-6511b-2 	rejected
mir-6512 	rejected
mir-6513 	rejected
mir-6514 	rejected
mir-6515 	rejected
mir-6516	rejected
mir-6715b 	rejected
mir-6716	rejected
mir-6717 	rejected
mir-6719 	rejected
mir-6722 	rejected
mir-6723 	rejected
mir-6724-1 	rejected
mir-6724-2	rejected
mir-6724-3	rejected
mir-6724-4	rejected
mir-6726	rejected
mir-6727	rejected
mir-6728	rejected
mir-6729	rejected
mir-6730	rejected
mir-6731	rejected
mir-6732	rejected
mir-6733	rejected
mir-6734	rejected
mir-6735	rejected
mir-6736	rejected
mir-6737	rejected
mir-6738	rejected
mir-6740	rejected
mir-6741	rejected
mir-6742	rejected
mir-6743	rejected
mir-6744	rejected
mir-6745	rejected
mir-6747	rejected
mir-6749	rejected
mir-6750	rejected
mir-6751	rejected
mir-6752	rejected
mir-6753	rejected
mir-6754	rejected
mir-6756	rejected
mir-6757	rejected
mir-6758	rejected
mir-6759	rejected
mir-6760	rejected
mir-6761	rejected
mir-6762	rejected
mir-6763	rejected
mir-6764	rejected
mir-6765	rejected
mir-6766	rejected
mir-6767	rejected
mir-6768	rejected
mir-6769a	rejected
mir-6769b	rejected
mir-6771	rejected
mir-6772	rejected
mir-6773	rejected
mir-6774	rejected
mir-6775	rejected
mir-6776	rejected
mir-6777	rejected
mir-6778	rejected
mir-6779	rejected
mir-6780a	rejected
mir-6780b	rejected
mir-6781	rejected
mir-6782	rejected
mir-6783	rejected
mir-6784	rejected
mir-6785	rejected
mir-6786	rejected
mir-6787	rejected
mir-6788	rejected
mir-6789	rejected
mir-6790	rejected
mir-6791	rejected
mir-6792	rejected
mir-6793	rejected
mir-6794	rejected
mir-6795	rejected
mir-6796	rejected
mir-6797	rejected
mir-6798	rejected
mir-6799	rejected
mir-6800	rejected
mir-6801	rejected
mir-6802	rejected
mir-6803	rejected
mir-6804	rejected
mir-6805	rejected
mir-6806	rejected
mir-6807	rejected
mir-6808	rejected
mir-6809	rejected
mir-6810	rejected
mir-6811	rejected
mir-6812	rejected
mir-6813	rejected
mir-6814	rejected
mir-6815	rejected
mir-6816	rejected
mir-6817	rejected
mir-6818	rejected
mir-6819	rejected
mir-6820	rejected
mir-6821	rejected
mir-6822	rejected
mir-6823	rejected
mir-6824	rejected
mir-6825	rejected
mir-6826	rejected
mir-6827	rejected
mir-6828	rejected
mir-6829	rejected
mir-6830	rejected
mir-6831	rejected
mir-6832	rejected
mir-6833	rejected
mir-6834	rejected
mir-6835	rejected
mir-6836	rejected
mir-6837	rejected
mir-6838	rejected
mir-6839	rejected
mir-6840	rejected
mir-6841	rejected
mir-6842	rejected
mir-6843	rejected
mir-6844	rejected
mir-6845	rejected
mir-6846	rejected
mir-6847	rejected
mir-6848	rejected
mir-6849	rejected
mir-6850	rejected
mir-6852	rejected
mir-6853	rejected
mir-6854	rejected
mir-6855	rejected
mir-6856	rejected
mir-6857	rejected
mir-6858	rejected
mir-6859-1	rejected
mir-6859-2	rejected
mir-6859-3	rejected
mir-6859-4	rejected
mir-6860	rejected
mir-6861	rejected
mir-6862-1	rejected
mir-6862-2	rejected
mir-6863	rejected
mir-6864	rejected
mir-6865	rejected
mir-6866	rejected
mir-6867	rejected
mir-6868	rejected
mir-6869	rejected
mir-6870	rejected
mir-6871	rejected
mir-6872	rejected
mir-6873	rejected
mir-6874	rejected
mir-6875	rejected
mir-6876	rejected
mir-6877	rejected
mir-6878	rejected
mir-6879	rejected
mir-6880	rejected
mir-6881	rejected
mir-6882	rejected
mir-6883	rejected
mir-6884	rejected
mir-6885	rejected
mir-6886	rejected
mir-6887	rejected
mir-6888	rejected
mir-6889	rejected
mir-6890	rejected
mir-6891	rejected
mir-6892	rejected
mir-6893	rejected
mir-6894	rejected
mir-6895	rejected
mir-7106	rejected
mir-7107	rejected
mir-7108	rejected
mir-7109	rejected
mir-7110	rejected
mir-7111	rejected
mir-7112	rejected
mir-7113	rejected
mir-7114	rejected
mir-7150	rejected
mir-7151	rejected
mir-7152	rejected
mir-7153	rejected
mir-7154	rejected
mir-7155	rejected
mir-7156	rejected
mir-7157	rejected
mir-7158	rejected
mir-7159	rejected
mir-7160	rejected
mir-7161	rejected
mir-7162	rejected
mir-7515	rejected
mir-7641-1	rejected
mir-7641-2	rejected
mir-7702	rejected
mir-7703	rejected
mir-7704	rejected
mir-7705	rejected
mir-7843	rejected
mir-7844	rejected
mir-7845	rejected
mir-7846	rejected
mir-7847	rejected
mir-7848	rejected
mir-7849	rejected
mir-7850	rejected
mir-7851	rejected
mir-7852	rejected
mir-7853	rejected
mir-7854	rejected
mir-7855	rejected
mir-7856	rejected
mir-7974	rejected
mir-7975	rejected
mir-7976	rejected
mir-7977	rejected
mir-7978	rejected
mir-8052	rejected
mir-8053	rejected
mir-8054	rejected
mir-8055	rejected
mir-8056	rejected
mir-8057	rejected
mir-8058	rejected
mir-8059	rejected
mir-8060	rejected
mir-8061	rejected
mir-8062	rejected
mir-8063	rejected
mir-8064	rejected
mir-8065	rejected
mir-8066	rejected
mir-8067	rejected
mir-8068	rejected
mir-8069-1	rejected
mir-8069-2	rejected
mir-8070	rejected
mir-8071-1	rejected
mir-8071-2	rejected
mir-8072	rejected
mir-8073	rejected
mir-8074	rejected
mir-8075	rejected
mir-8076	rejected
mir-8077	rejected
mir-8078	rejected
mir-8079	rejected
mir-8080	rejected
mir-8081	rejected
mir-8082	rejected
mir-8083	rejected
mir-8084	rejected
mir-8085	rejected
mir-8086	rejected
mir-8087	rejected
mir-8088	rejected
mir-8089	rejected
mir-8485	rejected
mir-9500	rejected
