name,MIMAT,curated,logFC,AveExpr,t,P.Value,adj.P.Val,B
hsa-miR-18a-5p,MIMAT0000072,white,1.33563134328358,7.5385579766537,7.15564230884203,1.40043988361164e-12,3.71116569157084e-10,18.0380307890422
hsa-miR-18b-5p,MIMAT0001412,white,1.00802537313434,7.35979688715953,5.96559542963064,3.15223696270129e-09,4.17671397557921e-07,10.594835524053
hsa-miR-139-5p,MIMAT0000250,white,-0.813443283582092,6.96758521400778,-5.39427497492215,8.19173157589564e-08,7.23602955870782e-06,7.4746765483507
hsa-miR-17-5p,MIMAT0000070,white,1.01518955223881,9.17433774319066,4.65346789531585,3.60401370041498e-06,0.000238765907652492,3.87676716425616
hsa-miR-663,MIMAT0003326,rejected,1.14138656716418,8.18356809338521,4.48592006028063,7.91343464849555e-06,0.000419412036370264,3.13399888028139
hsa-miR-93-5p,MIMAT0000093,white,0.741176119402994,10.7853727626459,4.41480172826832,1.09644013035965e-05,0.000484261057575512,2.82669222006283
hsa-miR-34a-5p,MIMAT0000255,white,-0.796807462686568,13.1716653696498,-4.34733255281643,1.4875831778626e-05,0.00056315648876227,2.53955554546692
hsa-miR-433-3p,MIMAT0001627,white,-0.118789552238802,6.27891595330739,-4.27159774183976,2.08475510966873e-05,0.000641667037799204,2.22235501197517
hsa-miR-29c-3p,MIMAT0000681,white,-0.97089552238805,13.2919058365759,-4.2615621891901,2.179246543469e-05,0.000641667037799204,2.18072928446557
hsa-miR-654-3p,MIMAT0004814,white,-0.5986223880597,7.09719299610895,-4.0185151669974,6.19895866914653e-05,0.00150459636009817,1.20170666138134
hsa-miR-381-3p,MIMAT0000736,white,-0.702038805970144,7.39617276264591,-4.01672984554113,6.24549432493578e-05,0.00150459636009817,1.19472226462354
hsa-miR-376a-3p,MIMAT0000729,white,-0.907576119402983,8.27417042801556,-3.89962514658889,0.000101356055934208,0.00223827956854709,0.743205914723704
hsa-miR-19a-3p,MIMAT0000073,white,0.970444776119416,9.73678988326848,3.86216432629713,0.000118022860846177,0.00228131357111893,0.601521927806465
hsa-miR-154-5p,MIMAT0000452,white,-0.464980597014923,6.96640389105058,-3.85698290818096,0.000120522226398736,0.00228131357111893,0.582029944519419
hsa-miR-497-5p,MIMAT0002820,white,-0.85520895522388,9.23828326848249,-3.83608930868535,0.000131116642726203,0.00231639402149625,0.503689614210029
hsa-miR-377-3p,MIMAT0000730,white,-0.906132835820891,8.26683968871595,-3.78597287658587,0.000160220666481381,0.00265365478859787,0.317473357312388
hsa-miR-432-5p,MIMAT0002814,white,-0.331925373134328,6.65606303501946,-3.74670488325859,0.000187169873600264,0.00291764802965118,0.173238984926527
hsa-miR-9-3p,MIMAT0000442,white,1.03173880597015,6.98992529182879,3.62733188693163,0.000297661351708519,0.00418518495353396,-0.256191558015917
hsa-miR-382-5p,MIMAT0000737,white,-0.403646268656718,6.83304046692607,-3.61853411805121,0.000307856220683181,0.00418518495353396,-0.28730196209577
hsa-miR-376c-3p,MIMAT0000720,white,-0.869494029850739,8.41846381322957,-3.60167390020154,0.00032831488529753,0.00418518495353396,-0.346715770790132
hsa-miR-125b-2-3p,MIMAT0004603,white,-0.541264179104476,7.14102023346303,-3.59901428384862,0.000331656166129106,0.00418518495353396,-0.356063186938342
hsa-miR-29c-5p,MIMAT0004673,white,-0.781788059701484,8.96772529182879,-3.55651157701669,0.000389567161807452,0.00456828477531939,-0.504524049338401
hsa-miR-199a-5p,MIMAT0000231,white,-0.981076119402978,8.79183657587549,-3.55183125005339,0.000396492640876778,0.00456828477531939,-0.520766668597348
hsa-miR-758-3p,MIMAT0003879,white,-0.380670149253728,6.7220326848249,-3.53262802558278,0.000426131082969806,0.00470519737445827,-0.587190101511879
hsa-miR-409-3p,MIMAT0001639,white,-0.417107462686559,7.05082101167315,-3.49753310362823,0.000485715702010352,0.00506455270192344,-0.707670238725277
hsa-miR-148b-3p,MIMAT0000759,white,-0.598149253731343,9.49412840466926,-3.49139777860408,0.000496899510377394,0.00506455270192344,-0.728611543253886
hsa-miR-152-3p,MIMAT0000438,white,-0.698326865671639,8.20097587548638,-3.46148136780581,0.00055495998821848,0.00544682951399619,-0.830206578561801
hsa-miR-193a-5p,MIMAT0004614,white,-0.679632835820893,8.498646692607,-3.41035996035431,0.000669038064921997,0.00633196740015461,-1.00182737191475
hsa-miR-377-5p,MIMAT0004689,white,-0.183189552238805,6.38472840466926,-3.32971330997774,0.000894177774007721,0.00817093483144986,-1.26747016173287
hsa-let-7c-5p,MIMAT0000064,white,-0.678225373134332,13.9096521400778,-3.24565477894973,0.00120221863658412,0.0102817489411654,-1.53770203704242
hsa-miR-299-3p,MIMAT0000687,white,-0.26536865671641,6.58078443579767,-3.24552299202995,0.00120277063085331,0.0102817489411654,-1.53812037308784
hsa-miR-145-5p,MIMAT0000437,white,-0.922677611940291,10.4006070038911,-3.22072811903488,0.00131089718166552,0.0107091075429204,-1.61653038683047
hsa-miR-145-3p,MIMAT0004601,white,-0.496007462686567,7.27921089494163,-3.21576598133039,0.00133358697704292,0.0107091075429204,-1.63215136361292
hsa-miR-34a-3p,MIMAT0004557,white,-0.28181194029851,6.68003501945525,-3.20526749474383,0.00138279272250809,0.0107776491607248,-1.66512285899987
hsa-miR-218-5p,MIMAT0000275,white,-0.708147761194033,7.67071750972763,-3.19629951187852,0.00142614697669179,0.0107979699663807,-1.6932036575817
hsa-miR-379-5p,MIMAT0000733,white,-0.55646567164179,7.43070661478599,-3.16657504369025,0.00157897459750324,0.0116230074538433,-1.7857241783904
