name	MIMAT	curated	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-125b-2-3p	MIMAT0004603	white	-0.645973626373624	7.14102023346303	-4.22647132819552	2.54276870441797e-05	0.00538875387101389	2.28086209264617
hsa-miR-139-5p	MIMAT0000250	white	-0.631094505494504	6.96758521400778	-4.1180257560652	4.06698405359539e-05	0.00538875387101389	1.84907281721899
hsa-miR-148a-3p	MIMAT0000243	white	-1.30320989010988	10.7076140077821	-3.90637168583519	9.860140517023e-05	0.00870979079003698	1.03783019178163
hsa-miR-433-3p	MIMAT0001627	white	-0.106699999999997	6.27891595330739	-3.77542092457888	0.000167078973128052	0.0110689819697334	0.556822448120454
hsa-miR-221-3p	MIMAT0000278	white	-0.869635164835165	8.15734630350195	-3.705368563292	0.000220113870299667	0.0116660351258823	0.306085890493201
hsa-miR-29a-3p	MIMAT0000086	white	-0.587892307692313	13.9115229571984	-3.31666997920678	0.000936603677609	0.0382433350138533	-1.0015593377044
hsa-miR-223-3p	MIMAT0000280	white	-1.22289120879121	10.4669478599222	-3.23798627699621	0.00123473126360716	0.0382433350138533	-1.24896732369323
hsa-miR-29c-5p	MIMAT0004673	white	0.715336263736265	8.96772529182879	3.20209558462007	0.00139798576910376	0.0382433350138533	-1.35988032352826
hsa-miR-654-3p	MIMAT0004814	white	-0.483676923076924	7.09719299610895	-3.19489713506259	0.00143303887800924	0.0382433350138533	-1.38197931160739
hsa-miR-31-5p	MIMAT0000089	white	-0.76959230769231	7.22952684824903	-3.1795791910318	0.00151034563057672	0.0382433350138533	-1.42884204509957
hsa-miR-425-5p	MIMAT0003393	white	0.765253846153847	10.2650614785992	3.16500369866902	0.00158745918925429	0.0382433350138533	-1.47322764522491
hsa-miR-140-5p	MIMAT0000431	white	-0.709808791208793	10.3465035019455	-3.0657198642447	0.00221707400603436	0.0489603842999254	-1.77022793026621
hsa-miR-193b-3p	MIMAT0002819	white	0.742506593406596	10.7121447470817	3.03388380704567	0.00246306682163566	0.0496425372345097	-1.86348946476319
hsa-miR-486-5p	MIMAT0002177	white	-0.735526373626374	7.22713073929961	-2.97536864591689	0.00298142250587212	0.0496425372345097	-2.03240351983242
hsa-miR-99a-5p	MIMAT0000097	white	-1.12614065934066	11.0320536964981	-2.93103952810087	0.00343845501472904	0.0496425372345097	-2.15820813517434
hsa-miR-140-3p	MIMAT0004597	white	-0.563513186813186	9.59469105058366	-2.92953162029511	0.00345506875890031	0.0496425372345097	-2.16245478078271
hsa-miR-432-5p	MIMAT0002814	white	-0.263192307692301	6.65606303501946	-2.92328449020536	0.0035246801756579	0.0496425372345097	-2.18002530198725
hsa-miR-377-3p	MIMAT0000730	white	-0.709749450549449	8.26683968871595	-2.91796145692706	0.00358499993777127	0.0496425372345097	-2.19496754185062
hsa-miR-154-5p	MIMAT0000452	white	-0.356165934065936	6.96640389105058	-2.90706082156175	0.00371146750515869	0.0496425372345097	-2.22548279315574
hsa-miR-31-3p	MIMAT0004504	white	-0.6931956043956	6.97454785992218	-2.90409211335372	0.00374660658373658	0.0496425372345097	-2.23377388006146
hsa-miR-130a-3p	MIMAT0000425	white	-0.731534065934058	10.8553813229572	-2.80904885277897	0.00504459203540154	0.0636579471134004	-2.49479507429536
hsa-miR-218-5p	MIMAT0000275	white	-0.626689010989014	7.67071750972763	-2.78332882644658	0.00545979202682872	0.0657656766868005	-2.5639570495773
hsa-miR-378a-3p	MIMAT0000732	white	-0.341845054945054	6.93282568093385	-2.76426970780827	0.0057871246994203	0.0666777411020164	-2.61480236314301
hsa-miR-149-5p	MIMAT0000450	white	0.8217032967033	7.9295486381323	2.74040616724759	0.00622190030434879	0.0685114845726876	-2.6779782218027
hsa-miR-381-3p	MIMAT0000736	white	-0.484519780219781	7.39617276264591	-2.72779589835118	0.00646334760119694	0.0685114845726876	-2.71114386549835
hsa-miR-100-5p	MIMAT0000098	white	-0.859730769230772	10.3857408560311	-2.70742969093639	0.00687115828842991	0.0700329594782279	-2.76438884485
hsa-miR-7-5p	MIMAT0000252	white	1.0405956043956	8.14733852140078	2.6924990739822	0.00718467676518406	0.0705162719545843	-2.80317262620222
hsa-miR-758-3p	MIMAT0003879	white	-0.293496703296698	6.7220326848249	-2.68003935318891	0.00745608671984535	0.0705665350271078	-2.83537574984048
hsa-miR-129-3p	MIMAT0004605	white	-0.205506593406593	6.51305992217899	-2.64306743751524	0.00831645696098105	0.0731726478354863	-2.93006341257102
hsa-miR-376c-3p	MIMAT0000720	white	-0.646508791208788	8.41846381322957	-2.63512411412097	0.00851252241545779	0.0731726478354863	-2.95023710476792
hsa-miR-451	MIMAT0001631	yellow	-1.55427472527472	12.0230038910506	-2.62716341557666	0.00871315814150976	0.0731726478354863	-2.97039468538976
hsa-miR-505-3p	MIMAT0002876	white	-0.33218461538462	7.33861167315175	-2.61251105790573	0.00909353436324828	0.0731726478354863	-3.00733879620885
hsa-miR-376a-3p	MIMAT0000729	white	-0.617750549450547	8.27417042801556	-2.61181131344963	0.00911206557951338	0.0731726478354863	-3.00909800301755
hsa-miR-125b-5p	MIMAT0000423	white	-0.781558241758241	13.3319828793774	-2.59788490064809	0.00948796445212976	0.0732251766685955	-3.044013035655
hsa-miR-99b-5p	MIMAT0000689	white	0.621708791208789	8.43787937743191	2.58245266727257	0.00992062783018967	0.0732251766685955	-3.08248765193062
hsa-miR-141-3p	MIMAT0000432	white	0.90195274725275	11.684353307393	2.58151164347781	0.00994757117007335	0.0732251766685955	-3.08482641442457
hsa-miR-34a-5p	MIMAT0000255	white	-0.475206593406595	13.1716653696498	-2.55117813533593	0.0108517838662599	0.0777222357988883	-3.15976371022913
hsa-miR-126-3p	MIMAT0000445	white	-0.825971428571423	9.55936031128405	-2.46818678883447	0.0137102600881265	0.0934353046829352	-3.36030880036536
hsa-miR-455-3p	MIMAT0004784	white	-0.705578021978017	8.76756342412451	-2.46712314223963	0.0137508561608848	0.0934353046829352	-3.36283644503331
hsa-miR-379-5p	MIMAT0000733	white	-0.437182417582412	7.43070661478599	-2.44795229591645	0.0145009899336033	0.0950388846675386	-3.40820898727397
hsa-miR-375	MIMAT0000728	white	1.3235043956044	9.54410350194552	2.44291161178849	0.0147041293259211	0.0950388846675386	-3.42008081266234
hsa-miR-145-3p	MIMAT0004601	white	-0.377428571428574	7.27921089494163	-2.40779692398339	0.0161902479292992	0.102152754792007	-3.50211040376011
hsa-miR-299-3p	MIMAT0000687	white	-0.198979120879121	6.58078443579767	-2.39459145241077	0.0167824249094549	0.102514228346832	-3.53265459640393
hsa-miR-382-5p	MIMAT0000737	white	-0.270872527472527	6.83304046692607	-2.38938176992056	0.0170212303670211	0.102514228346832	-3.54465878778916
hsa-miR-144-3p	MIMAT0000436	white	-0.838576923076925	7.7847766536965	-2.38068964292909	0.0174263161032504	0.102621639274697	-3.56462958841937
hsa-miR-377-5p	MIMAT0004689	white	-0.13194615384615	6.38472840466926	-2.35988985052346	0.0184301941194411	0.103962591853848	-3.61212585556656
hsa-miR-663	MIMAT0003326	rejected	0.610172527472525	8.18356809338521	2.35971894435669	0.0184386483665316	0.103962591853848	-3.61251440848709
hsa-miR-409-3p	MIMAT0001639	white	-0.283545054945055	7.05082101167315	-2.3395094689236	0.0194626234169509	0.105322969509128	-3.658263745109
hsa-miR-497-5p	MIMAT0002820	white	-0.530000000000003	9.23828326848249	-2.3392745466794	0.0194748132299897	0.105322969509128	-3.65879325875633
hsa-miR-1271-5p	MIMAT0005796	white	-0.230075824175827	6.8618560311284	-2.32164944369369	0.0204086120399777	0.105977118588967	-3.69836983987066
hsa-miR-557	MIMAT0003221	purple	0.218865934065932	6.68665058365759	2.32163805736302	0.020409227724372	0.105977118588967	-3.69839531159501
hsa-miR-181a-2-3p	MIMAT0004558	white	-0.252121978021976	6.88143346303502	-2.31455266759856	0.0207955100627407	0.105977118588967	-3.71422162556487
hsa-miR-575	MIMAT0003240	rejected	0.628257142857146	7.84903813229572	2.29045957527459	0.0221571527904436	0.110233521445428	-3.76767846072545
hsa-miR-144-5p	MIMAT0004600	white	-0.437029670329665	6.64377898832685	-2.28523131672196	0.0224626798417099	0.110233521445428	-3.77920548622799
hsa-miR-200c-3p	MIMAT0000617	white	0.661430769230769	9.28564980544747	2.24976396502274	0.0246337553173176	0.118689911983439	-3.85671258257612
hsa-miR-30e-3p	MIMAT0000693	white	-0.461869230769231	8.65674941634241	-2.22630511070816	0.0261677818445706	0.122061460388204	-3.90731671562259
hsa-miR-204-5p	MIMAT0000265	white	-0.334917582417584	6.60559377431907	-2.22501147728725	0.026254729215576	0.122061460388204	-3.91009196180863
hsa-miR-337-5p	MIMAT0004695	white	-0.297548351648351	6.9684	-2.20951707161567	0.0273157169744181	0.124804568934841	-3.94320791203536
hsa-miR-1281	MIMAT0005939	rejected	-0.114865934065932	6.48141245136187	-2.19444169311467	0.0283833594316533	0.127484580498104	-3.97520791139102
hsa-miR-133b	MIMAT0000770	white	-0.291885714285719	6.58233618677043	-2.17571585616338	0.0297594885549079	0.13143774111751	-4.01465389493796
hsa-miR-152-3p	MIMAT0000438	white	-0.442183516483516	8.20097587548638	-2.15672440728992	0.031213417819804	0.132610168159079	-4.0543167415328
hsa-miR-21-3p	MIMAT0004494	white	0.618702197802202	9.3393579766537	2.15439790392094	0.0313956561089865	0.132610168159079	-4.05915181853362
hsa-miR-664*	MIMAT0005948	rejected	0.328275824175827	7.12926848249027	2.15273858035572	0.0315261909208377	0.132610168159079	-4.06259715854523
hsa-miR-143-3p	MIMAT0000435	white	-0.561458241758244	8.72763035019455	-2.13250189452898	0.0331560332827693	0.136259517293713	-4.10440361909657
hsa-miR-769-5p	MIMAT0003886	white	0.314167032967036	7.87214941634241	2.12633339165296	0.0336669797294263	0.136259517293713	-4.11706902807306
hsa-miR-409-5p	MIMAT0001638	white	-0.168552747252746	6.53576186770428	-2.12311378024598	0.0339363326090003	0.136259517293713	-4.12366519279612
hsa-miR-299-5p	MIMAT0002890	white	-0.344460439560441	6.9578373540856	-2.11231763481894	0.0348530422724449	0.137678943996627	-4.14571132390601
hsa-miR-29c-3p	MIMAT0000681	white	0.487000000000002	13.2919058365759	2.10336261074858	0.0356294046985533	0.137678943996627	-4.16391315369015
hsa-miR-301a-3p	MIMAT0000688	white	0.62058901098901	9.3810140077821	2.09661649216469	0.036223975481828	0.137678943996627	-4.17757449384173
hsa-miR-188-5p	MIMAT0000457	white	0.307109890109889	7.228953307393	2.09049223767754	0.0367710503423438	0.137678943996627	-4.18993878226097
