MIMAT	miRNAname	FC	pval	adj.P.Val
63	MIMAT0000459	hsa-miR-193,hsa-miR-193a,hsa-miR-193a-3p	5.9388629958105	2.8700557486161e-09	1.67254972936593e-08
25	MIMAT0000226	hsa-miR-196a,hsa-miR-196a-5p	-5.90672238654078	3.48981088471589e-09	1.96592679838995e-08
111	MIMAT0003150	hsa-miR-455,hsa-miR-455-5p	-5.78827515448278	7.11128556041274e-09	3.87679761196694e-08
94	MIMAT0001638	hsa-miR-409-5p	-5.73917402109478	9.51394207859835e-09	5.02455066025975e-08
96	MIMAT0002171	hsa-miR-410,hsa-miR-410-3p	-5.56480303530439	2.62448678345351e-08	1.34405535273831e-07
122	MIMAT0003329	hsa-miR-411,hsa-miR-411-5p	-5.44770878938144	5.10228050920603e-08	2.536133547223e-07
8	MIMAT0000073	hsa-miR-19a,hsa-miR-19a-3p	-5.43542657652599	5.46654923549994e-08	2.6395623451414e-07
157	MIMAT0004945	hsa-miR-744,hsa-miR-744-5p	-5.33799203980357	9.39815840705904e-08	4.41191325220272e-07
103	MIMAT0002814	hsa-miR-432,hsa-miR-432-5p	-5.30847897448363	1.10543834086485e-07	5.04916431367999e-07
101	MIMAT0002809	hsa-miR-146b,hsa-miR-146b-5p	-5.27707111707575	1.31264954239541e-07	5.83783612275851e-07
152	MIMAT0004774	hsa-miR-501-3p	-5.24859998643336	1.53259451796117e-07	6.64124291116508e-07
72	MIMAT0000688	hsa-miR-301,hsa-miR-301a,hsa-miR-301a-3p	-5.22092653363327	1.78030161501752e-07	7.52177432344903e-07
98	MIMAT0002175	hsa-miR-485-5p	-5.1646764890537	2.40855126731887e-07	9.8122263951043e-07
121	MIMAT0003322	hsa-miR-652,hsa-miR-652-3p	5.16236122375573	2.43854147097267e-07	9.8122263951043e-07
66	MIMAT0000681	hsa-miR-29c,hsa-miR-29c-3p	5.14350262390721	2.69662886243083e-07	1.05983785523444e-06
69	MIMAT0000686	hsa-miR-34c,hsa-miR-34c-5p	-5.13323426617548	2.84805043992975e-07	1.09391028260938e-06
7	MIMAT0000072	hsa-miR-18,hsa-miR-18a,hsa-miR-18a-5p	-5.12714942787103	2.94162039393697e-07	1.10474188127855e-06
80	MIMAT0000729	hsa-miR-376a,hsa-miR-376a-3p	-5.08818988553639	3.61497319634196e-07	1.3281097177865e-06
143	MIMAT0004606	hsa-miR-136-3p,hsa-miR-136*	-5.08137116140675	3.74720128037964e-07	1.34739790720034e-06
119	MIMAT0003266	hsa-miR-598,hsa-miR-598-3p	-5.02968601595769	4.9128367685114e-07	1.72972794558005e-06
77	MIMAT0000720	hsa-miR-368,hsa-miR-376c,hsa-miR-376c-3p	-5.02091944468036	5.14247242788812e-07	1.77362824553692e-06
40	MIMAT0000278	hsa-miR-221,hsa-miR-221-3p	-5.00965699378126	5.45271306551243e-07	1.8430170161432e-06
48	MIMAT0000425	hsa-miR-130a,hsa-miR-130a-3p	-4.89924237026376	9.62069079513128e-07	3.18803283211213e-06
126	MIMAT0003389	hsa-miR-542-3p	-4.88586550505536	1.02975477966893e-06	3.34670303392404e-06
141	MIMAT0004597	hsa-miR-140-3p	4.86349291256423	1.15332157202275e-06	3.67016834488007e-06
60	MIMAT0000451	hsa-miR-150,hsa-miR-150-5p	4.86019252449408	1.17271651256523e-06	3.67016834488007e-06
113	MIMAT0003180	hsa-miR-487b,hsa-miR-487b-3p	-4.85183700834524	1.22323135087754e-06	3.75865633269644e-06
95	MIMAT0001639	hsa-miR-409-3p	-4.8287646668742	1.37382649634255e-06	4.14601210503375e-06
12	MIMAT0000077	hsa-miR-22,hsa-miR-22-3p	4.79496125294031	1.62706276762847e-06	4.75897730168911e-06
43	MIMAT0000416	hsa-miR-1	-4.7941992934465	1.6332584822365e-06	4.75897730168911e-06
78	MIMAT0000727	hsa-miR-374,hsa-miR-374a,hsa-miR-374a-5p	-4.78659179207778	1.69637371749687e-06	4.85910437723679e-06
51	MIMAT0000433	hsa-miR-142-5p	-4.73178619519698	2.22552757556116e-06	6.2685693378306e-06
124	MIMAT0003338	hsa-miR-660,hsa-miR-660-5p	-4.69162261736675	2.71046747446491e-06	7.50932792105851e-06
151	MIMAT0004767	hsa-miR-193b-5p,hsa-miR-193b*	4.55437840096413	5.25407058882266e-06	1.43215795082424e-05
128	MIMAT0003885	hsa-miR-454	-4.54993270134857	5.36630757852485e-06	1.43953330281064e-05
18	MIMAT0000088	hsa-miR-30a*	4.52487197045182	6.04320778618828e-06	1.59578455604034e-05
156	MIMAT0004814	hsa-miR-654-3p	-4.49370794574554	6.99936067283247e-06	1.81983377493644e-05
90	MIMAT0001412	hsa-miR-18b,hsa-miR-18b-5p	-4.4555635017689	8.36731233633259e-06	2.14253906793971e-05
136	MIMAT0004568	hsa-miR-221-5p,hsa-miR-221*	-4.42011550047894	9.86481615528056e-06	2.46207866828542e-05
27	MIMAT0000231	hsa-miR-199a,hsa-miR-199a-5p	-4.41920228881721	9.90658872446204e-06	2.46207866828542e-05
100	MIMAT0002177	hsa-miR-486,hsa-miR-486-5p	4.38774160156942	1.14533733908129e-05	2.80524652615562e-05
148	MIMAT0004694	hsa-miR-342-5p	-4.34700205173803	1.38010928840693e-05	3.33197813915387e-05
57	MIMAT0000446	hsa-miR-127,hsa-miR-127-3p	-4.32465914949501	1.52767882606319e-05	3.63630593809408e-05
9	MIMAT0000074	hsa-miR-19b,hsa-miR-19b-3p	-4.31888218617641	1.56821464527557e-05	3.68094826460515e-05
84	MIMAT0000737	hsa-miR-382,hsa-miR-382-5p	-4.29406673219664	1.75429707127694e-05	4.06131787733978e-05
83	MIMAT0000733	hsa-miR-379,hsa-miR-379-5p	-4.2775169850645	1.88989542093676e-05	4.3161125153826e-05
45	MIMAT0000419	hsa-miR-27b,hsa-miR-27b-3p	-4.23483499393783	2.28719589021598e-05	5.15381473928667e-05
108	MIMAT0002872	hsa-miR-501,hsa-miR-501-5p	-4.19497921258871	2.72896614190721e-05	6.06835892081997e-05
47	MIMAT0000424	hsa-miR-128,hsa-miR-128-3p,hsa-miR-128a	-4.15737153294435	3.21930201161447e-05	7.06574077873824e-05
35	MIMAT0000263	hsa-miR-199b,hsa-miR-199b-5p	-4.14560503407991	3.38917596227617e-05	7.3432145849317e-05
138	MIMAT0004587	hsa-miR-23b-5p,hsa-miR-23b*	-4.14021269590114	3.46983943593226e-05	7.42282107180447e-05
70	MIMAT0000687	hsa-miR-299,hsa-miR-299-3p	-4.11963840126674	3.794674392954e-05	8.01624965511533e-05
153	MIMAT0004775	hsa-miR-502-3p	-4.11459626959888	3.87857663823876e-05	8.08223867651464e-05
33	MIMAT0000255	hsa-miR-34a,hsa-miR-34a-5p	-4.11205316559015	3.9215595945219e-05	8.08223867651464e-05
6	MIMAT0000070	hsa-miR-17	-4.04441421316966	5.2454110365252e-05	0.000106804152430453
82	MIMAT0000731_MIMAT0000732	hsa-miR-378	4.03798353985033	5.39126350154184e-05	0.000108467087114354
87	MIMAT0000761	hsa-miR-324-5p	-3.97456306556825	7.05085778280878e-05	0.000140187642975845
23	MIMAT0000101	hsa-miR-103,hsa-miR-103a,hsa-miR-103a-3p	-3.95822378282384	7.55091962703069e-05	0.000148384350810254
120	MIMAT0003308	hsa-miR-638	3.89119753118364	9.97506825579642e-05	0.000193768567267769
166	MIMAT0005927	hsa-miR-1274a	-3.80230693378405	0.000143354971524845	0.000275306706678395
41	MIMAT0000281	hsa-miR-224,hsa-miR-224-5p	3.78217267274491	0.00015546545480527	0.000295209683843715
28	MIMAT0000232	hsa-miR-199a-3p,hsa-miR-199a*	-3.76342388050731	0.00016760275857397	0.000314720735544455
1	MI0000065_MIMAT0000065	hsa-let-7d	-3.73190453357799	0.000190037525998221	0.000352860834753314
168	MIMAT0005938	hsa-miR-1274b	-3.72767525735319	0.000193254168421753	0.000352860834753314
16	MIMAT0000086	hsa-miR-29a,hsa-miR-29a-3p	3.72647300771021	0.000194177855810995	0.000352860834753314
133	MIMAT0004552	hsa-miR-139-3p	3.7236893695987	0.000196332470476124	0.000352980718196435
44	MIMAT0000418	hsa-miR-23b,hsa-miR-23b-3p	-3.7196106737113	0.000199530102981349	0.000354953551619452
53	MIMAT0000437	hsa-miR-145,hsa-miR-145-5p	3.70701506322188	0.000209716473594135	0.000369188375389675
165	MIMAT0005911	hsa-miR-1260,hsa-miR-1260a	-3.69585458748445	0.000219148382837098	0.000379392429161887
24	MIMAT0000104	hsa-miR-107	-3.69486608194627	0.000220002710401568	0.000379392429161887
164	MIMAT0005901	hsa-miR-1249	3.69173654671725	0.000222728113354442	0.000380212637948492
89	MIMAT0001341	hsa-miR-424,hsa-miR-424-5p	-3.6835306166851	0.000230025641096754	0.00038817651937072
149	MIMAT0004695	hsa-miR-337-5p	-3.68080602610467	0.000232497830628953	0.00038817651937072
112	MIMAT0003163	hsa-miR-539,hsa-miR-539-5p	-3.67885430392926	0.000234284053111322	0.00038817651937072
147	MIMAT0004689	hsa-miR-377-5p,hsa-miR-377*	-3.62643010265004	0.00028736655920869	0.000471504354429793
52	MIMAT0000434	hsa-miR-142-3p	-3.60828444827839	0.00030822844806333	0.000500871228102912
76	MIMAT0000710	hsa-miR-365,hsa-miR-365a-3p	3.4889632931767	0.000484897730642642	0.000780454442653395
161	MIMAT0004982	hsa-miR-939,hsa-miR-939-5p	3.4749426601077	0.000510962558327277	0.000814647852427451
117	MIMAT0003240	hsa-miR-575	3.35904502877828	0.000782123220896436	0.00123531611524764
160	MIMAT0004955	hsa-miR-374b,hsa-miR-374b-5p	-3.34387940287149	0.000826156421233515	0.00129278180730059
140	MIMAT0004595	hsa-miR-135a-3p,hsa-miR-135a*	3.32033405576183	0.000899097930544324	0.00139401422258707
93	MIMAT0001631	hsa-miR-451,hsa-miR-451a	3.30815789997196	0.000939118437518927	0.00143459293793261
106	MIMAT0002821	hsa-miR-181d,hsa-miR-181d-5p	-3.30722628800617	0.000942247432606624	0.00143459293793261
88	MIMAT0000770	hsa-miR-133b	-3.30195768898479	0.000960125519762656	0.00144876082892758
61	MIMAT0000452	hsa-miR-154,hsa-miR-154-5p	-3.29933012284395	0.000969158656465519	0.00144944967205905
32	MIMAT0000253	hsa-miR-10a,hsa-miR-10a-5p	3.26628972175663	0.00108966702119861	0.00161538356651374
109	MIMAT0002874	hsa-miR-503,hsa-miR-503-5p	-3.24547325535962	0.00117255578002395	0.00172314718977433
150	MIMAT0004748	hsa-miR-423-5p	-3.21818116001531	0.00129006309463753	0.00187948847408398
29	MIMAT0000243	hsa-miR-148a,hsa-miR-148a-3p	-3.21328855664119	0.00131224379266803	0.00189546325607605
21	MIMAT0000095	hsa-miR-96,hsa-miR-96-5p	-3.20115958603403	0.00136875701199335	0.00196033843243115
58	MIMAT0000447	hsa-miR-134,hsa-miR-134-5p	3.16145955139247	0.00156980618949865	0.0022293886220611
123	MIMAT0003330	hsa-miR-654,hsa-miR-654-5p	-3.10443587325005	0.0019064224911316	0.002684878341677
79	MIMAT0000728	hsa-miR-375	-3.03708937338974	0.00238874618757623	0.00331783944915653
38	MIMAT0000271	hsa-miR-214,hsa-miR-214-3p	-3.03628523217748	0.0023951267029414	0.00331783944915653
167	MIMAT0005929	hsa-miR-1275	3.00816499580127	0.00262830398845115	0.00361124694348167
163	MIMAT0005898	hsa-miR-1246	2.99878179529329	0.00271061361272107	0.0036849924215479
158	MIMAT0004951	hsa-miR-887,hsa-miR-887-3p	-2.99710299490772	0.00272558611061235	0.0036849924215479
75	MIMAT0000705	hsa-miR-362,hsa-miR-362-5p	-2.98863982340895	0.00280222250012629	0.00375853652794717
131	MIMAT0004494	hsa-miR-21-3p,hsa-miR-21*	-2.9719533938907	0.00295911599777088	0.00393772128837227
5	MIMAT0000067	hsa-let-7f,hsa-let-7f-5p	-2.95230420621177	0.00315412027036488	0.00416442441946613
116	MIMAT0003239	hsa-miR-574,hsa-miR-574-3p	-2.93141290881402	0.0033742396232801	0.00442051547545997
71	MIMAT0000687_MIMAT0002890	hsa-miR-299-5p	-2.91044161051906	0.00360918397037935	0.00469193916149315
125	MIMAT0003340	hsa-miR-542-5p	-2.88268003013633	0.00394307744094879	0.00508687089710188
132	MIMAT0004504	hsa-miR-31-3p,hsa-miR-31*	-2.8698217900658	0.00410703198760354	0.00525824549928029
36	MIMAT0000265	hsa-miR-204,hsa-miR-204-5p	-2.86685866620549	0.00414568106129876	0.00526782029593601
142	MIMAT0004602	hsa-miR-125a-3p	2.85418314387541	0.00431476492783367	0.00544175576719321
64	MIMAT0000617	hsa-miR-200c,hsa-miR-200c-3p	-2.83120932150704	0.00463723621863243	0.00576706665588681
42	MIMAT0000318	hsa-miR-200b,hsa-miR-200b-3p	-2.83095306656343	0.0046409530485243	0.00576706665588681
13	MIMAT0000081	hsa-miR-25,hsa-miR-25-3p	-2.80684717647703	0.00500289699777445	0.0061714568804663
34	MIMAT0000261	hsa-miR-183,hsa-miR-183-5p	-2.7832587696651	0.00538158651214227	0.00659049362718872
31	MIMAT0000252	hsa-miR-7,hsa-miR-7-5p	-2.75068570866212	0.00594706715288407	0.0072306068261684
