MIMAT	name	logFC.merged	adj.P.Val.merged	logFC.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0001627	hsa-miR-433	-0.0350120	2.979e-01	-2.3453783	0.153214	 TRUE	FALSE	white
MIMAT0003180	hsa-miR-487b	 0.1584398	2.979e-01	 1.1817116	0.505017	 TRUE	FALSE	white
MIMAT0000686	hsa-miR-34c-5p	 0.2475707	3.022e-01	 1.5265043	0.359056	 TRUE	FALSE	white
MIMAT0003329	hsa-miR-411	 0.0826104	3.022e-01	 1.4188542	0.410697	 TRUE	FALSE	white
MIMAT0000258	hsa-miR-181c	 0.2636156	3.098e-01	 1.3278491	0.441483	 TRUE	FALSE	white
MIMAT0000760	hsa-miR-331-3p	 0.2109588	3.098e-01	 0.4368821	0.830870	 TRUE	FALSE	white
MIMAT0004911	hsa-miR-874	-0.1276321	3.098e-01	-1.3852040	0.428673	 TRUE	FALSE	white
MIMAT0004484	hsa-let-7d*	 0.0422837	3.175e-01	 1.7292150	0.297107	 TRUE	FALSE	white
MIMAT0001080	hsa-miR-196b	 0.2843041	3.353e-01	 1.5953291	0.348246	 TRUE	FALSE	white
MIMAT0003888	hsa-miR-766	-0.0856212	3.411e-01	-1.3184727	0.444134	 TRUE	FALSE	purple
MIMAT0004571	hsa-miR-200b*	 0.2325553	3.432e-01	 1.3095644	0.444134	 TRUE	FALSE	white
MIMAT0000280	hsa-miR-223	-0.4185000	3.521e-01	-2.2624235	0.165699	 TRUE	FALSE	white
MIMAT0003294	hsa-miR-625	 0.2871609	3.521e-01	 1.4415319	0.398670	 TRUE	FALSE	white
MIMAT0000456	hsa-miR-186	-0.1719932	3.574e-01	-1.8566984	0.244235	 TRUE	FALSE	white
MIMAT0000226	hsa-miR-196a	 0.6762219	3.639e-01	 1.4775486	0.386611	 TRUE	FALSE	white
MIMAT0001536	hsa-miR-429	 0.3704830	3.805e-01	 1.5275652	0.359056	 TRUE	FALSE	white
MIMAT0000318	hsa-miR-200b	 0.4246210	3.851e-01	 1.4011578	0.420298	 TRUE	FALSE	white
MIMAT0000646	hsa-miR-155	-0.3403594	3.851e-01	-1.5866543	0.348246	 TRUE	FALSE	white
MIMAT0000710	hsa-miR-365	 0.2757352	3.851e-01	 0.9687452	0.634630	 TRUE	FALSE	white
MIMAT0003233	hsa-miR-551b	 0.2685856	3.851e-01	 1.0503705	0.583172	 TRUE	FALSE	white
MIMAT0000083	hsa-miR-26b	 0.4980401	3.936e-01	 1.5426427	0.359056	 TRUE	FALSE	white
MIMAT0000089	hsa-miR-31	-0.2389282	3.955e-01	-2.1874358	0.178612	 TRUE	FALSE	white
MIMAT0000688	hsa-miR-301a	-0.3117908	3.955e-01	-1.7542507	0.289275	 TRUE	FALSE	white
MIMAT0005948	hsa-miR-664*	 0.1593035	3.955e-01	 1.5538081	0.359056	 TRUE	FALSE	rejected
MI0000433_MIMAT0000414	hsa-let-7g	 0.3650400	4.008e-01	 1.1627765	0.512982	 TRUE	FALSE	white
MIMAT0000093	hsa-miR-93	-0.1704493	4.070e-01	-2.0653749	0.188800	 TRUE	FALSE	white
MIMAT0000435	hsa-miR-143	 0.2592288	4.070e-01	 1.1552819	0.515323	 TRUE	FALSE	white
MIMAT0000755	hsa-miR-323-3p	 0.0400153	4.070e-01	 1.3644827	0.431814	 TRUE	FALSE	white
MIMAT0002817	hsa-miR-495	 0.0929517	4.070e-01	 1.2725518	0.450376	 TRUE	FALSE	white
MIMAT0004682	hsa-miR-361-3p	-0.1597868	4.183e-01	-1.6633903	0.327355	 TRUE	FALSE	white
MIMAT0000092	hsa-miR-92a	-0.2248497	4.253e-01	-2.2966038	0.160238	 TRUE	FALSE	white
MIMAT0000097	hsa-miR-99a	 0.3507878	4.253e-01	 0.6167950	0.775674	 TRUE	FALSE	white
MIMAT0000752	hsa-miR-328	 0.0441090	4.253e-01	 1.2755402	0.450376	 TRUE	FALSE	white
MIMAT0000763	hsa-miR-338-3p	 0.3753448	4.253e-01	 1.0498693	0.583172	 TRUE	FALSE	white
MIMAT0003308	hsa-miR-638	-0.3002649	4.253e-01	 0.9943379	0.621427	FALSE	FALSE	rejected
MIMAT0003886	hsa-miR-769-5p	 0.1364682	4.348e-01	 1.3552971	0.431814	 TRUE	FALSE	white
MIMAT0000687_MIMAT0002890	hsa-miR-299-5p	 0.1525772	4.367e-01	 0.8227653	0.694034	 TRUE	FALSE	white
MIMAT0000070	hsa-miR-17	-0.2104443	4.410e-01	-1.6584727	0.327355	 TRUE	FALSE	white
MI0000434_MIMAT0000415	hsa-let-7i	 0.1852403	4.488e-01	-1.1880482	0.505017	FALSE	FALSE	white
MIMAT0004695	hsa-miR-337-5p	 0.1231437	4.553e-01	 0.9362225	0.644974	 TRUE	FALSE	white
MIMAT0004605	hsa-miR-129-3p	-0.0694240	4.666e-01	-1.2785662	0.450376	 TRUE	FALSE	white
MIMAT0004600	hsa-miR-144*	-0.1691903	4.696e-01	-1.5759819	0.351701	 TRUE	FALSE	white
