MIMAT	name	logFC.merged	adj.P.Val.merged	logFC.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0000418	hsa-miR-23b	-0.0158176	9.847e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000460	hsa-miR-194	 0.0092209	9.847e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0002813	hsa-miR-493*	-0.0074320	9.847e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0005593	hsa-miR-1238	-0.0041929	9.847e-01	 0.000	1.00	FALSE	FALSE	rejected
MIMAT0000075	hsa-miR-20a	-0.0189189	9.851e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004954	hsa-miR-543	-0.0023546	9.920e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000067	hsa-let-7f	 0.0041724	9.947e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000271	hsa-miR-214	-0.0103038	9.947e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000727	hsa-miR-374a	-0.0033548	9.947e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000731_MIMAT0000732	hsa-miR-378	 0.0016132	9.947e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000761	hsa-miR-324-5p	-0.0026616	9.947e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0001341	hsa-miR-424	-0.0091962	9.947e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003258	hsa-miR-590-5p	 0.0067188	9.947e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003885	hsa-miR-454	 0.0028571	9.947e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004552	hsa-miR-139-3p	 0.0009918	9.947e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000688	hsa-miR-301a	-0.0011741	9.962e-01	 0.000	1.00	FALSE	FALSE	white
