MIMAT	name	logFC.merged	adj.P.Val.merged	logFC.meta	adj.P.Val.meta	same_dir	consensus	curated
MI0000063_MIMAT0000063	hsa-let-7b	-0.2146891	4.246e-01	 0.000	1.00	FALSE	FALSE	white
MI0000434_MIMAT0000415	hsa-let-7i	 0.1970839	4.246e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000446	hsa-miR-127-3p	-0.2447056	4.246e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000770	hsa-miR-133b	-0.1374687	4.246e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004776	hsa-miR-505*	 0.1080991	4.246e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000252	hsa-miR-7	 0.3844777	4.382e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000280	hsa-miR-223	-0.3670763	4.382e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000459	hsa-miR-193a-3p	 0.1840183	4.441e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000426	hsa-miR-132	-0.1253344	4.467e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0002171	hsa-miR-410	-0.1179618	4.588e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003308	hsa-miR-638	-0.2906198	4.588e-01	 0.000	1.00	FALSE	FALSE	rejected
MIMAT0004682	hsa-miR-361-3p	-0.1498703	4.588e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000710	hsa-miR-365	 0.2395850	4.758e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000254	hsa-miR-10b	-0.3577026	4.878e-01	 0.000	1.00	FALSE	FALSE	white
MI0000065_MIMAT0000065	hsa-let-7d	 0.2579634	4.916e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000416	hsa-miR-1	-0.1656119	4.916e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000433	hsa-miR-142-5p	 0.2876699	4.916e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0005927	hsa-miR-1274a	-0.1865584	4.916e-01	 0.000	1.00	FALSE	FALSE	NA
MIMAT0000765	hsa-miR-335	-0.2091534	4.971e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000076	hsa-miR-21	 0.2371087	5.023e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003237	hsa-miR-572	-0.1638427	5.063e-01	 0.000	1.00	FALSE	FALSE	rejected
MIMAT0003240	hsa-miR-575	 0.2385583	5.063e-01	 0.000	1.00	FALSE	FALSE	rejected
MIMAT0000084	hsa-miR-27a	 0.1793987	5.073e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000073	hsa-miR-19a	 0.2121077	5.113e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0001618	hsa-miR-191*	 0.0470979	5.158e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000083	hsa-miR-26b	-0.3996949	5.160e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0005948	hsa-miR-664*	 0.1228496	5.275e-01	 0.000	1.00	FALSE	FALSE	rejected
MIMAT0000070	hsa-miR-17	 0.1841980	5.288e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000457	hsa-miR-188-5p	 0.1238608	5.288e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0005793	hsa-miR-320c	-0.1576095	5.288e-01	 0.000	1.00	FALSE	FALSE	rejected
MIMAT0000685	hsa-miR-34b*	-0.1636024	5.315e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000707	hsa-miR-363	 0.2940290	5.334e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000279	hsa-miR-222	-0.2548319	5.349e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003180	hsa-miR-487b	-0.1043204	5.427e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0002874	hsa-miR-503	 0.1383564	5.428e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004599	hsa-miR-143*	-0.0653957	5.428e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004557	hsa-miR-34a*	-0.0675737	5.485e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004761	hsa-miR-483-5p	 0.1867851	5.538e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004774	hsa-miR-501-3p	 0.0652278	5.726e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0002176	hsa-miR-485-3p	-0.0330938	5.742e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0002816	hsa-miR-494	-0.3433485	6.011e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004945	hsa-miR-744	-0.0767545	6.230e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000757	hsa-miR-151-3p	 0.1476134	6.385e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004558	hsa-miR-181a-2*	-0.0684340	6.552e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000449	hsa-miR-146a	 0.1873596	6.654e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003888	hsa-miR-766	 0.0457803	6.687e-01	 0.000	1.00	FALSE	FALSE	purple
MIMAT0000074	hsa-miR-19b	-0.1287770	6.735e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004594	hsa-miR-132*	-0.0611255	6.997e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004767	hsa-miR-193b*	-0.0564498	6.997e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0005929	hsa-miR-1275	 0.1557069	7.093e-01	 0.000	1.00	FALSE	FALSE	rejected
MIMAT0000434	hsa-miR-142-3p	 0.2395818	7.158e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000086	hsa-miR-29a	-0.1045861	7.169e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004955	hsa-miR-374b	-0.0972125	7.337e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003338	hsa-miR-660	-0.1280294	7.409e-01	 0.000	1.00	FALSE	FALSE	white
