	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0005893	-0.562598115580737	6.61499108995754	-10.337720440274	3.6792880159582e-24	9.78690612244881e-22	43.9948507216042
MIMAT0005942	-0.288896921775457	6.29618883638275	-9.37539893966233	2.79914237801596e-20	3.72285936276123e-18	35.1989221491504
MIMAT0005938	-0.71005262411753	12.1663553837196	-4.36437803452997	1.37190143305159e-05	0.00121641927063908	2.26470149091654
MIMAT0007890	-0.289847506003561	6.87149294939674	-3.83385417121208	0.000131953909494165	0.008774934981362	0.128624548772103
MIMAT0000417	0.551903895425527	12.8836422354611	3.54346841221423	0.000408354770553689	0.0217244737934563	-0.926013679985787
MIMAT0001343_MIMAT0003393	0.654888799243549	10.0901225418117	3.2699231557024	0.00110286624710396	0.0413336038544609	-1.84490402351437
MIMAT0005954	-0.634089549532575	14.7917669492682	-3.23058664463389	0.00126511139592677	0.0413336038544609	-1.97107348510408
MIMAT0000450	0.771922768386239	7.84413230632965	3.21849539238964	0.0013192502516959	0.0413336038544609	-2.00955336562767
MIMAT0002872	-0.159133449918478	6.40112892290352	-3.20159671600347	0.00139850539357199	0.0413336038544609	-2.06309460268967
MIMAT0000267	0.916449835552618	9.87257952315871	2.99504357911188	0.00279399651080699	0.0708316621399546	-2.69507763774051
MIMAT0000104	0.478072171476895	10.2171805277862	2.9805105102366	0.00292912888548684	0.0708316621399546	-2.73797912115839
MIMAT0005911	-0.509711048014369	10.7293819593941	-2.92187872956282	0.00353710464206074	0.0711477840936178	-2.90896776640178
MIMAT0000080	0.356592167668676	12.0984862147004	2.91620288706292	0.00360168055542399	0.0711477840936178	-2.92534225561236
MIMAT0000101	0.416414125355208	12.7280525045066	2.90396180278125	0.00374462021545357	0.0711477840936178	-2.96055008066307
MI0000066_MIMAT0000066	0.757584796851472	12.0942500143031	2.81208729019721	0.00499328008935378	0.0885475002512071	-3.22012987338615
MIMAT0000226	1.28532679136926	9.34131916253047	2.64730183203342	0.00820803976877199	0.136458661155834	-3.66503957448111
MIMAT0000436	-0.711582519025933	7.687959053035	-2.56114601267245	0.0105405417409416	0.15964727124108	-3.88707319400824
MIMAT0000731_MIMAT0000732	-0.242047891667925	6.87434183412231	-2.55254130259994	0.0108031988057873	0.15964727124108	-3.9088490626545
MIMAT0004795	-0.536903004852183	8.91593113184041	-2.52180432047579	0.0117896372782345	0.165054921895282	-3.98604217038111
MIMAT0005939	-0.10672993544045	6.45055158463333	-2.47804577966891	0.0133318380101378	0.177313445534833	-4.09433940894569
MIMAT0003228	-0.0906898727016143	6.34842466202161	-2.4222054402758	0.0155574664614618	0.190475208910426	-4.2298094371637
MIMAT0000243	-0.659646329589587	10.5240459673998	-2.40506418105015	0.0163033872261105	0.190475208910426	-4.27078061744772
MIMAT0000076	0.520104774621659	15.5183476761163	2.38739810540501	0.0171048887424157	0.190475208910426	-4.31270434965779
MIMAT0000418	0.436084418661886	10.2689957868833	2.38565682318318	0.0171857331347753	0.190475208910426	-4.31682003075588
MIMAT0002819	0.465730791457763	10.5456369924483	2.36384197382342	0.0182273496370885	0.193939000138622	-4.36812910031313
MIMAT0004603	-0.289677016059356	7.06868545616228	-2.30037247806268	0.0215788601572753	0.215305758227885	-4.5147520838261
MIMAT0000261	0.665687799121494	9.83068628945581	2.29554724119172	0.021854343880274	0.215305758227885	-4.5257371028019
MIMAT0001627	-0.0506633814502901	6.24255516605699	-2.24592510508224	0.0248698434251721	0.222909430682526	-4.63737759424776
MIMAT0002816	-0.876040888186836	10.270133461165	-2.24310527510266	0.0250515432209976	0.222909430682526	-4.64364897857692
MIMAT0005927	-0.37556962323591	9.18637078165066	-2.24173642143198	0.0251401613551721	0.222909430682526	-4.64669052969201
MIMAT0004600	-0.332597118935129	6.59380712528778	-2.22644864725413	0.0261484809486498	0.222955223168072	-4.68053427212022
MIMAT0002177	-0.4685104044613	7.23591739183023	-2.21652346111014	0.0268216809826252	0.222955223168072	-4.70238336066638
MIMAT0000256	0.464421079914088	9.43566796289341	2.19315579710781	0.0284660743872659	0.223666746447681	-4.75344174681772
MIMAT0000266	-0.983975675082871	9.97930873110655	-2.1914564002043	0.0285889826286509	0.223666746447681	-4.7571339755218
MIMAT0004697	0.419260153364901	8.86422308387384	2.15064777640577	0.0316809257122432	0.233900560856841	-4.84494408585538
MIMAT0002876	-0.203994266240628	7.25986903076318	-2.14786129003147	0.031902143217511	0.233900560856841	-4.85088013634841
MIMAT0000084	0.359007893331146	13.324666149987	2.13997981126054	0.0325350404199365	0.233900560856841	-4.86762866205919
MIMAT0000280	-0.631362123020038	10.3232209031617	-2.11293880273674	0.0347889685464248	0.243522779824974	-4.92462725386036
MIMAT0000250	-0.266533615354085	6.91016090289737	-2.10212455239549	0.0357270311111421	0.243676673732405	-4.94722060090916
MIMAT0004674	-0.101895144468529	6.63812193924246	-2.07608211921836	0.0380750532486931	0.25065184771107	-5.00115631175429
MIMAT0000095	0.689516022485369	10.1812499777893	2.07008168281508	0.038634307353962	0.25065184771107	-5.01348894367032
MI0000065_MIMAT0000065	0.46876403109222	9.88673575434891	2.01812884483608	0.0437751274891009	0.274595164465453	-5.11878382271716
MIMAT0000099	-0.375968191831395	9.01401990519664	-2.01227149055552	0.0443894438797537	0.274595164465453	-5.13048831129437
MIMAT0000419	0.384819988548318	10.1088465987173	1.99201484814936	0.0465703816677411	0.281539125536799	-5.17070554838582
MIMAT0000753	0.532386393326181	10.5854264406877	1.96976582445111	0.0490691849158798	0.290053404169423	-5.21441227875678
